OBJECTID,NAME,ADDRESS,USE_TYPE,PROPID,ACTIVE,DIAMOND60,DIAMOND90,BBCOURT,FBFIELD,SOCCERJR,SOCCERREG,TENNISCT,VOLLEYB,SKATEPARK,WOODLAND,VSTRSHCAN,DMPSTR,PICNIC,PLYGRD,TOTLOT,INSWIM,OUTSWIM,SPRAYPARK,UTILBX,TRAFPOLE,UTILPOLE,BUSSTP,LOCK_,NMZ,DRINKFOUNT,BENCHES,ATHLIGHT,LNDSCPBED,TOTIMPV,SIGNS,TURFONLY,FENCE,TOPO,COMMGAR,WARD,AREA_,ZONE_,PARKPARTN,RES_NUM,ADJ_SCHOOL_SITE,COMMENTS,Shape_Length,Shape_Area,SSL,DATE_ACQUIRED
46,Bundy Field,"New Jersey Ave., between O and P Sts., NW",PARK,DPR_0633,Y,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,5,,633,Bundy,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),464.7820945,9731.109706,0511    0822,1972-12-14T00:00:00.000Z
47,Columbia Heights,"15th and Girard Sts., NW",REC CENTER GROUNDS,DPR_0063,Y,0,0,1,0,0,0,0,0,N,N,6,0,3,1,1,0,0,Y,0,0,0,N,,N,0,11,Nne,Pr,Nw,RpLACE,RpLACE,Ir,Flt,N,1,,4,N,none,none,,404.994818,5535.922187,2667    0074,
48,Guy Mason,"Calvert and 36th Sts., NW",REC CENTER GROUNDS,DPR_0014,Y,1,0,0,0,0,0,0,0,N,N,5,1,5,1,1,0,0,N,0,0,0,N,,N,0,12,Nw,Gd,Nw,RpLACE,Gd,Ir,Flt,N,3,,3,,none,none,,542.9044021,17717.16823,1299    0974,
49,Stoddert,"Calvert St., between 39th and 41st Sts., NW",REC CENTER GROUNDS,DPR_0015,Y,1,0,0,0,0,0,0,0,N,N,2,0,4,1,1,0,0,N,0,0,0,Y,,N,0,0,Nne,RpLACE,Nne,RpLACE,RpAIR,ChnLnk,Flt,N,3,,3,,none,Stoddert Elementary School,"Subdivision Books (88,92,98,100,102,110) Pages (9,146,3,94,149,2); Survey Book 97, Page 131",792.1274662,26376.38221,1808    0801,
50,W Street Park,"48th St., between W and Ashby Sts., NW",PARK,DPR_0694,Y,,,,,,,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,N,3,,3,,694,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),416.5220167,10683.2144,1384    0815,1972-12-14T00:00:00.000Z
51,Benning Stoddert Community Center,"East Capitol St., between Burns & B Sts., SE",REC CENTER GROUNDS,DPR_0706,Y,1,0,4,0,0,0,0,0,N,Y,0,1,8,1,0,0,0,Y,1,0,0,N,,Y,1,7,RpAIR,RpAIR,RpAIR,RpLACE,Gd,ChnLnk,MdSlp,N,7,,14,N,706,none,Subdivision Book 152 Page 132 (TOJ for Recreation Purposes),1071.733898,48363.34424,Multiple Lots,
52,Monroe Park,"11th and Monroe Sts., NW",PARK,DPR_0039,Y,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,N,1,,4,,none,none,,148.6128078,1246.295065,Multiple Lots,1972-12-14T00:00:00.000Z
53,Lansburgh Park,"Delaware Ave., between I and M Sts., SW",PARK,DPR_0712,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,5,,712,Randall,Subdivision Book 158 Page 50 (TOJ for Recreation Purposes),835.2222344,18759.05861,RES 07120000,1972-11-14T00:00:00.000Z
54,Harry Thomas,"Lincoln Rd. and 2nd St., to R and T Sts., NE",REC CENTER GROUNDS,DPR_0464,Y,0,1,1,1,0,0,2,0,N,N,2,1,0,1,1,0,1,N,0,0,0,Y,,N,1,0,Nw,RpLACE,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,5,,10,N,464,Emery Elementary School,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),543.244589,12723.33821,RES 04640000,
55,Canal Park,"2nd St., between K and I Sts., SE",PARK,DPR_017B,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,12,,017B,none,Subdivision Book 158 Page 50 (TOJ for Recreation Purposes),203.792,2167.994943,0767    0830,
56,Joy Evans,"6th St., between L and M Sts., SE",REC CENTER GROUNDS,DPR_019A,Y,0,0,0,0,0,0,0,0,N,N,0,0,0,1,1,1,0,N,0,0,0,,,N,1,3,Nne,RpLACE,Nne,RpLACE,Pr,ChnLnk,Flt,N,6,,12,N,019A,Van Ness Elementary School,Subdivision Books (152 & 155) Pages (133 & 177) (TOJ to DC for Recreation purposes),280.54,4066.656828,RES 019A0000,
57,Triangle Park RES 0253,"Potomac Ave. and K Street, SE",SMALL PARK,DPR_0253,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,253,none,TOJ for Comp Plan,155.5949004,955.2939735,RES 02530000,
58,Lovejoy Park,"E St., between 11th and 12th Sts., NE",PARK,DPR_0690,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,12,,690,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),230.4734446,1711.90009,0985    0808,1972-12-14T00:00:00.000Z
59,Triangle Park RES 0269,"Tennessee Ave.,14th St.,E St.,NE",TRIANGLE,DPR_0269,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,269,none,TOJ for Comp Plan,83.41393425,279.271223,RES 02690000,
60,Triangle Park RES 0268,"Tennessee Ave.,14th St.,D St.,NE",TRIANGLE,DPR_0268,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,268,none,TOJ for Comp Plan,106.8757449,458.9312641,RES 02680000,
61,Justice Park,"14th and Euclid Sts., NW",PARK,DPR_0026,Y,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,N,1,,4,,none,none,,140.2058528,1144.995324,2665    0046,2008-03-12T00:00:00.000Z
62,K C Lewis,"Bryant and W Sts., 4th St., NW",PARK,DPR_0705,Y,1,0,1,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,N,1,,4,,705,Lewis,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),432.5253662,8697.886552,RES 07050000,1972-12-14T00:00:00.000Z
63,Unity Park,"Columbia Rd.,Champlain St.,Euclid St.,NW",TRIANGLE,DPR_306D,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,306D,none,TOJ for Comp Plan,80.41917373,271.704489,RES 306D0000,1972-12-14T00:00:00.000Z
64,Loomis Park,"Bryant and Adams Sts., to Lawrence and 19th Sts., NE",CIRCLE,DPR_0313,Y,0,0,0,0,0,0,0,0,N,Y,0,0,0,0,0,0,0,N,0,0,0,N,,Y,0,0,Nne,,,RpLACE,Gd,Nne,MdSlp,N,5,,11,N,313,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),427.1095291,9548.520307,RES 03130000,1972-12-14T00:00:00.000Z
65,Brentwood Recreation Center,"15th & Downing Sts., NE",REC CENTER GROUNDS,DPR_0673,Y,1,0,1,0,0,0,0,0,N,N,8,0,12,1,1,0,0,N,0,0,0,N,,Y,0,0,Nne,Gd,Nw,Nw,Gd,ChnLnk,Flt,N,5,,11,N,673,none,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),279.3310187,4886.055632,RES 06730000,1956-01-01T00:00:00.000Z
66,Dakota Park,"South Dakota Ave., Adams and 33rd Sts., NE",PARK,DPR_0644,Y,1,0,2,0,0,0,1,0,N,N,3,0,0,1,1,0,0,N,0,0,0,,,Y,0,3,Nne,,Nw,RpLACE,Gd,Nne,MdSlp,N,5,,11,N,644,none,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),457.6421225,10310.82846,RES 06440000,1972-11-14T00:00:00.000Z
67,Fort Lincoln,"Ft. Lincoln Dr. and 31st Pl., NE",REC CENTER GROUNDS,DPR_0027,Y,2,0,2,0,0,0,8,0,N,Y,0,1,1,1,0,0,1,Y,3,0,0,N,,Y,1,68,Nw,RpAIR,RpAIR,RpLACE,Pr,ChnLnk,MdSlp,N,5,,11,N,none,Marshall Education Center,Need to identify TOJ documentation,1887.905351,89648.61148,4327    1156,
68,Triangle Park RES 0256,"Potomac Ave.,16th St.,G St.,SE",TRIANGLE,DPR_0256,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,256,none,TOJ for Comp Plan,90.20787324,302.063922,RES 02560000,
69,Triangle Park RES 0257,"Potomac Ave.,17th St.,E St.,SE",TRIANGLE,DPR_0257,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,257,none,"Subdivision Book 158, Page 42.  TOJ to DC for Comp Plan",198.5902528,1465.384925,RES 02570000,
70,17th & C Triangle Park Playground RES 0092,"Massachusetts Ave.,17th St.,C St.,SE",TRIANGLE,DPR_0092,Y,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,12,,92,none,TOJ for Comp Plan,212.8347555,1683.482715,RES 00920000,
71,Payne,"C St., between 14th and 15th Sts. SE",REC CENTER GROUNDS,DPR_0649,Y,1,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,N,0,0,0,N,,N,0,0,RpLACE,,Nne,RpLACE,Pr,ChnLnk,Flt,N,6,,12,N,649,Payne Elementary School,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),172.8280709,1792.59396,1061    0813,1972-11-14T00:00:00.000Z
72,Triangle Park RES 0240,"South of South Carolina Avenue and C Street, SE",SMALL PARK,DPR_0240,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,240,none,TOJ for Comp Plan,123.1029869,475.0748755,RES 02400000,
73,Watkins,"13th St., between D and E Sts., SE",REC CENTER GROUNDS,DPR_0611,Y,0,1,2,0,0,0,0,0,Y,N,4,0,0,1,0,0,1,N,0,0,0,N,,N,1,8,Nw,,Nw,RpLACE,Pr,ChnLnk,Flt,N,6,,12,N,611,Watkins Elementary School,Subdivision Book 152 Page 134 (TOJ for Recreation Purposes),571.1951766,10758.76051,Multiple Lots,1972-12-14T00:00:00.000Z
74,Triangle Park RES 336B,"Minnesota Ave., between 22nd & Q Sts., SE",TRIANGLE,DPR_336B,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,7,,336B,none,TOJ for Comp Plan,186.5852963,1397.07321,RES 336B0000,
75,Triangle Park RES 336C,"Naylor Rd., between 22nd & Q Sts., SE",TRIANGLE,DPR_336C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,7,,336C,none,TOJ for Comp Plan,150.4600458,962.2761001,RES 336C0000,
76,Hillcrest Recreation Center,"Alabama Ave., west of 32nd St., SE",REC CENTER GROUNDS,DPR_0627,Y,0,0,0,0,0,0,0,1,N,Y,4,1,0,1,1,0,0,N,,,,N,,N,1,6,Nne,Gd,Nw,Nw,Pr,Ir,Flt,N,7,,7,,627,Winston Educational Center,Subdivision Book 162 Page 1 (TOJ to DC for Recreation & School purposes),1251.180104,72327.22887,RES 06270000,1972-12-14T00:00:00.000Z
77,Garfield Park,"F St. and Virginia Ave., between 1st and 3rd Sts., SE",PARK,DPR_0017,Y,0,0,0,0,0,0,2,0,N,N,16,0,0,1,1,0,0,N,0,0,0,N,,N,2,21,Nne,Gd,Nw,RpLACE,Gd,Ir,Flt,N,6,,12,Y,17,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),856.3037349,27742.73303,RES 00170000,1792-01-01T00:00:00.000Z
78,Marvin Gaye Park,"42nd St. & Hunt Pl., to 63rd St. & Southern Ave., NE",LARGE PARK,DPR_0610,Y,1,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,Y,7,,13,,610,Drew Elementary School,Subdivision Book 199 Page 154 (TOJ for Recreation Purposes),11282.75479,181715.1319,RES 06100000,
