,Unnamed: 0,MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price,Zip Code,address,location,distance
36,36,DCDC433002,RES,CLS,59 W St NW,Washington,"Washington, DC",3.0,1-Feb,Row/Townhouse,8/6/2019,Redfin Corp (REFC3),1010000.0,20001,"59 W St NW, Washington, DC 20001","(38.919356, -77.011148588162)",0
37,37,DCDC432950,RES,CLS,1504 3rd St NW,Washington,"Washington, DC",2.0,1-Feb,Row/Townhouse,8/22/2019,Compass (COMPS2),765000.0,20001,"1504 3rd St NW, Washington, DC 20001","(38.91005425, -77.0154212244778)",0
38,38,DCDC433116,RES,CLS,150 Rhode Island Ave NW ,Washington,"Washington, DC",3.0,1-Feb,Unit/Flat/Apartment,8/13/2019,KW Metro Center (KWR17),671000.0,20001,"150 Rhode Island Ave NW , Washington, DC 20001","(38.91496455, -77.0136662511277)",0
39,39,DCDC431772,RES,CLS,2124 11th St NW ,Washington,"Washington, DC",2.0,1-Feb,Unit/Flat/Apartment,7/31/2019,TTR Sotheby's International Realty (TTRS5),753000.0,20001,"2124 11th St NW , Washington, DC 20001","(38.918745, -77.0273548019048)",0
40,40,DCDC432770,RES,CLS,87 P St NW,Washington,"Washington, DC",4.0,1-Mar,Row/Townhouse,7/31/2019,TTR Sotheby's International Realty (TTRS8),1220000.0,20001,"87 P St NW, Washington, DC 20001","(38.90981, -77.011884)",0
41,41,DCDC432578,RES,CLS,440 L St NW ,Washington,"Washington, DC",2.0,2,Unit/Flat/Apartment,8/8/2019,Coldwell Banker Residential Brokerage (CBRB106),824900.0,20001,"440 L St NW , Washington, DC 20001","(38.90338695, -77.0173690852959)",0
42,42,DCDC430082,RES,CLS,313 M St NW,Washington,"Washington, DC",2.0,2,Detached,6/21/2019,Compass (COMPS1),749495.0,20001,"313 M St NW, Washington, DC 20001","(38.9057984, -77.0158317261525)",0
43,43,DCDC432154,RES,CLS,2108 Flagler Pl NW,Washington,"Washington, DC",4.0,1-Mar,Row/Townhouse,6/21/2019,Compass (COMPS1),1349900.0,20001,"2108 Flagler Pl NW, Washington, DC 20001","(38.91844085, -77.0137574536791)",0
44,44,DCDC432170,RES,CLS,62 Q St NW ,Washington,"Washington, DC",3.0,3,Row/Townhouse,7/29/2019,Redfin Corp (REFC3),849900.0,20001,"62 Q St NW , Washington, DC 20001","(38.9109737, -77.0113833)",0
45,45,DCDC431768,RES,CLS,409 R St NW,Washington,"Washington, DC",3.0,1-Jan,Row/Townhouse,7/23/2019,TTR Sotheby's International Realty (TTRS5),890000.0,20001,"409 R St NW, Washington, DC 20001","(38.912601, -77.0125263)",0
46,46,DCDC431848,RES,CLS,155 Randolph Pl NW,Washington,"Washington, DC",4.0,1-Apr,Row/Townhouse,7/19/2019,TTR Sotheby's International Realty (TTRS5),1200000.0,20001,"155 Randolph Pl NW, Washington, DC 20001","(38.9134946, -77.0137312003448)",0
47,47,DCDC431922,RES,CLS,27 Bryant St NW ,Washington,"Washington, DC",2.0,2,Row/Townhouse,8/7/2019,Compass (COMPS1),765000.0,20001,"27 Bryant St NW , Washington, DC 20001","(38.9215035, -77.0100741062862)",0
48,48,DCDC432116,RES,CLS,929 Florida Ave NW ,Washington,"Washington, DC",1.0,1-Jan,Unit/Flat/Apartment,7/26/2019,Compass (COMPS1),550000.0,20001,"929 Florida Ave NW , Washington, DC 20001","(38.91869955, -77.0241417840963)",0
49,49,DCDC432176,RES,CLS,2608 Sherman Ave NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,8/9/2019,Coldwell Banker Residential Brokerage (CBRB52),329000.0,20001,"2608 Sherman Ave NW , Washington, DC 20001","(38.92417155, -77.0258280809783)",0
50,50,DCDC431938,RES,CLS,778 Harvard St NW,Washington,"Washington, DC",3.0,1-Feb,Row/Townhouse,8/28/2019,"Ramsbury Real Estate, LLC (RREL1)",799000.0,20001,"778 Harvard St NW, Washington, DC 20001","(38.92676895, -77.025465520107)",0
51,51,DCDC429884,RES,CLS,1613 6th St NW ,Washington,"Washington, DC",2.0,2,Row/Townhouse,7/19/2019,Keller Williams Capital Properties (KWCP1),725000.0,20001,"1613 6th St NW , Washington, DC 20001","(38.91139646969, -77.019795)",0
52,52,DCDC431888,RES,CLS,715 6th St NW ,Washington,"Washington, DC",2.0,2,Unit/Flat/Apartment,8/12/2019,"Long & Foster Real Estate, Inc. (LNG147)",526900.0,20001,"715 6th St NW , Washington, DC 20001","(38.89886875, -77.019801)",0
53,53,DCDC430998,RES,CLS,929 Florida Ave NW ,Washington,"Washington, DC",2.0,2,Unit/Flat/Apartment,8/16/2019,KW Metro Center (KWR17),667000.0,20001,"929 Florida Ave NW , Washington, DC 20001","(38.91869955, -77.0241417840963)",0
54,54,DCDC430708,RES,CLS,902 T St NW ,Washington,"Washington, DC",2.0,1-Feb,Unit/Flat/Apartment,7/12/2019,"Washington Fine Properties, LLC (WFP1)",795000.0,20001,"902 T St NW , Washington, DC 20001","(38.9155602, -77.0104684)",0
55,55,DCDC431462,RES,CLS,402 N St NW,Washington,"Washington, DC",3.0,3,Row/Townhouse,7/12/2019,RE/MAX Executives (RMAX203),1100000.0,20001,"402 N St NW, Washington, DC 20001","(38.9070848, -77.0164228460292)",0
56,56,DCDC431426,RES,CLS,410 Oakdale Pl NW,Washington,"Washington, DC",2.0,1-Jan,Row/Townhouse,7/2/2019,"Long & Foster Real Estate, Inc. (LNG191)",613500.0,20001,"410 Oakdale Pl NW, Washington, DC 20001","(38.91768815, -77.0180318059825)",0
57,57,DCDC431086,RES,CLS,449 R St NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,8/8/2019,"Washington Fine Properties, LLC (WFP3)",340000.0,20001,"449 R St NW , Washington, DC 20001","(38.912601, -77.0125263)",0
58,58,DCDC430940,RES,CLS,149 W St NW ,Washington,"Washington, DC",0.0,1,Unit/Flat/Apartment,8/23/2019,Compass (COMPS1),300000.0,20001,"149 W St NW , Washington, DC 20001","(38.9194095, -77.0143029426863)",0
59,59,DCDC431038,RES,CLS,1550 11th St NW ,Washington,"Washington, DC",2.0,2,Unit/Flat/Apartment,8/2/2019,McWilliams/Ballard Inc. (MCWB1),970000.0,20001,"1550 11th St NW , Washington, DC 20001","(38.9108319015965, -77.027145)",0
60,60,DCDC431198,RES,CLS,934 Westminster St NW,Washington,"Washington, DC",3.0,1-Mar,Row/Townhouse,6/27/2019,Compass (COMPS1),1242500.0,20001,"934 Westminster St NW, Washington, DC 20001","(38.91464235, -77.0252004338567)",0
61,61,DCDC430942,RES,CLS,449 R St NW ,Washington,"Washington, DC",2.0,2,Unit/Flat/Apartment,7/17/2019,"Washington Fine Properties, LLC (WFP1)",580000.0,20001,"449 R St NW , Washington, DC 20001","(38.912601, -77.0125263)",0
62,62,DCDC429352,RES,CLS,20 Channing St NW ,Washington,"Washington, DC",4.0,4,Detached,8/26/2019,Compass (COMPS2),1055000.0,20001,"20 Channing St NW , Washington, DC 20001","(38.9221856, -77.0099092034561)",0
63,63,DCDC431258,RES,CLS,440 L St NW ,Washington,"Washington, DC",2.0,Jan-00,Unit/Flat/Apartment,7/22/2019,The ONE Street Company (ONERE1),507500.0,20001,"440 L St NW , Washington, DC 20001","(38.90338695, -77.0173690852959)",0
64,64,DCDC431210,RES,CLS,57 N St NW ,Washington,"Washington, DC",1.0,Jan-00,Unit/Flat/Apartment,7/15/2019,McWilliams/Ballard Inc. (MCWB1),549900.0,20001,"57 N St NW , Washington, DC 20001","(38.9073186150061, -77.0111520479494)",0
65,65,DCDC430874,RES,CLS,4326 Georgia NW ,Washington,"Washington, DC",2.0,2,Unit/Flat/Apartment,8/5/2019,"Long & Foster Real Estate, Inc. (LNG191)",522000.0,20001,"4326 Georgia NW , Washington, DC 20001","(0, 0)",0
66,66,DCDC430746,RES,CLS,1909 9 1/2 St NW,Washington,"Washington, DC",2.0,1-Jan,Row/Townhouse,8/2/2019,Great Eastern Realty Network (GERN1),580000.0,20001,"1909 9 1/2 St NW, Washington, DC 20001","(38.9161845, -77.0245773255872)",0
67,67,DCDC430488,RES,CLS,400 Massachusetts Ave NW ,Washington,"Washington, DC",1.0,1-Jan,Unit/Flat/Apartment,8/28/2019,"Long & Foster Real Estate, Inc. (LNG191)",632499.0,20001,"400 Massachusetts Ave NW , Washington, DC 20001","(38.899969, -77.016802)",0
68,68,DCDC430294,RES,CLS,1030 Fairmont St NW ,Washington,"Washington, DC",3.0,2,Unit/Flat/Apartment,7/19/2019,Compass (COMPS4),595000.0,20001,"1030 Fairmont St NW , Washington, DC 20001","(38.92459025, -77.0266204901633)",0
69,69,DCDC430398,RES,CLS,635 Q St NW,Washington,"Washington, DC",3.0,1-Mar,Twin/Semi-Detached,7/12/2019,Compass (COMPS2),1144000.0,20001,"635 Q St NW, Washington, DC 20001","(38.911135, -77.009443)",0
70,70,DCDC430042,RES,CLS,913 T St NW,Washington,"Washington, DC",5.0,1-Feb,Row/Townhouse,7/8/2019,Compass (COMPS1),1500000.0,20001,"913 T St NW, Washington, DC 20001","(38.9155602, -77.0104684)",0
71,71,DCDC430350,RES,CLS,475 K St NW ,Washington,"Washington, DC",2.0,2,Unit/Flat/Apartment,6/26/2019,"Washington Fine Properties, LLC (WFP1)",776000.0,20001,"475 K St NW , Washington, DC 20001","(38.903577, -77.018707)",0
72,72,DCDC430326,RES,CLS,558 Harvard St NW ,Washington,"Washington, DC",4.0,1-Apr,Row/Townhouse,7/10/2019,McWilliams/Ballard Inc. (MCWB1),1175000.0,20001,"558 Harvard St NW , Washington, DC 20001","(38.9273604423077, -77.0214608269231)",0
73,73,DCDC430234,RES,CLS,1821 9th St NW,Washington,"Washington, DC",3.0,1-Feb,Row/Townhouse,7/30/2019,Keller Williams Capital Properties (KWCP1),1000000.0,20001,"1821 9th St NW, Washington, DC 20001","(38.9206098, -77.0240398)",0
74,74,DCDC429704,RES,CLS,911 Columbia Rd NW,Washington,"Washington, DC",2.0,2,Row/Townhouse,6/4/2019,Non Subscribing Office (NON1),420000.0,20001,"911 Columbia Rd NW, Washington, DC 20001","(38.928747, -77.01841)",0
75,75,DCDC430116,RES,CLS,555 Massachusetts Ave NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,7/5/2019,Compass (COMPS1),429900.0,20001,"555 Massachusetts Ave NW , Washington, DC 20001","(38.90175595, -77.0192354473468)",0
76,76,DCDC430074,RES,CLS,1117 10th St NW ,Washington,"Washington, DC",2.0,2,Unit/Flat/Apartment,7/8/2019,"Ramsbury Real Estate, LLC (RREL1)",675000.0,20001,"1117 10th St NW , Washington, DC 20001","(38.9048763, -77.0257341)",0
77,77,DCDC428190,RES,CLS,1814 1st St NW,Washington,"Washington, DC",5.0,1-Mar,Row/Townhouse,7/2/2019,Compass (COMPS2),1332700.0,20001,"1814 1st St NW, Washington, DC 20001","(38.9145434, -77.0124238292208)",0
78,78,DCDC429794,RES,CLS,925 H St NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,8/5/2019,"Washington Fine Properties, LLC (WFP1)",815000.0,20001,"925 H St NW , Washington, DC 20001","(38.899973, -77.024366)",0
79,79,DCDC429786,RES,CLS,132 S St NW,Washington,"Washington, DC",4.0,1-Mar,Row/Townhouse,6/3/2019,TTR Sotheby's International Realty (TTRS4),1456075.0,20001,"132 S St NW, Washington, DC 20001","(38.91385505, -77.0133155965928)",0
80,80,DCDC429604,RES,CLS,1550 11th St NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,8/27/2019,McWilliams/Ballard Inc. (MCWB1),413000.0,20001,"1550 11th St NW , Washington, DC 20001","(38.9108319015965, -77.027145)",0
81,81,DCDC429068,RES,CLS,475 K St NW ,Washington,"Washington, DC",2.0,1,Unit/Flat/Apartment,7/10/2019,Compass (COMPS1),555000.0,20001,"475 K St NW , Washington, DC 20001","(38.903577, -77.018707)",0
82,82,DCDC429346,RES,CLS,1628 11th St NW ,Washington,"Washington, DC",3.0,1-Feb,Unit/Flat/Apartment,8/14/2019,TTR Sotheby's International Realty (TTRS2),1000000.0,20001,"1628 11th St NW , Washington, DC 20001","(38.9026225, -77.027032)",0
83,83,DCDC429298,RES,CLS,57 N St NW ,Washington,"Washington, DC",1.0,Jan-00,Unit/Flat/Apartment,7/12/2019,McWilliams/Ballard Inc. (MCWB1),597400.0,20001,"57 N St NW , Washington, DC 20001","(38.9073186150061, -77.0111520479494)",0
84,84,DCDC428430,RES,CLS,1616 11th St NW ,Washington,"Washington, DC",1.0,Jan-00,Unit/Flat/Apartment,7/17/2019,Capital Residential Properties (CMRL1),433000.0,20001,"1616 11th St NW , Washington, DC 20001","(38.9026225, -77.027032)",0
85,85,DCDC429152,RES,CLS,1512 Marion St NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,7/8/2019,Compass (COMPS1),290000.0,20001,"1512 Marion St NW , Washington, DC 20001","(38.9101288, -77.0211362148822)",0
86,86,DCDC428414,RES,CLS,437 New York Ave NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,6/20/2019,Redfin Corp (REFC3),504000.0,20001,"437 New York Ave NW , Washington, DC 20001","(38.9047807, -77.0173980308343)",0
87,87,DCDC428784,RES,CLS,555 Massachusetts Ave NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,7/12/2019,Keller Williams Capital Properties (KWCP1),480000.0,20001,"555 Massachusetts Ave NW , Washington, DC 20001","(38.90175595, -77.0192354473468)",0
88,88,DCDC428718,RES,CLS,1835 5th St NW,Washington,"Washington, DC",4.0,1-Mar,Row/Townhouse,7/30/2019,TTR Sotheby's International Realty (TTRS5),1400000.0,20001,"1835 5th St NW, Washington, DC 20001","(38.91517905, -77.0182368900684)",0
89,89,DCDC424592,RES,CLS,1426 11th St NW ,Washington,"Washington, DC",2.0,2,Row/Townhouse,8/21/2019,"Long & Foster Real Estate, Inc. (LNG147)",759000.0,20001,"1426 11th St NW , Washington, DC 20001","(38.90944425, -77.0273957218492)",0
90,90,DCDC428694,RES,CLS,436 M St NW ,Washington,"Washington, DC",2.0,1-Feb,Unit/Flat/Apartment,6/20/2019,McWilliams/Ballard Inc. (MCWB3),1100000.0,20001,"436 M St NW , Washington, DC 20001","(38.9053673, -77.0177908395645)",0
91,91,DCDC428608,RES,CLS,528 U St NW,Washington,"Washington, DC",4.0,1-Jan,Row/Townhouse,8/28/2019,RLAH Real Estate (RLAH3),765000.0,20001,"528 U St NW, Washington, DC 20001","(38.9163973, -77.0196857247701)",0
92,92,DCDC428526,RES,CLS,1812 8th St NW,Washington,"Washington, DC",2.0,1,Row/Townhouse,6/27/2019,The Real Estate Store (WRTH1),665000.0,20001,"1812 8th St NW, Washington, DC 20001","(38.8997051, -77.0229479)",0
93,93,DCDC428442,RES,CLS,108 Q St NW,Washington,"Washington, DC",4.0,1-Mar,Row/Townhouse,8/6/2019,"District Real Estate, LLC. (DCRLS1)",1130000.0,20001,"108 Q St NW, Washington, DC 20001","(38.911135, -77.009443)",0
94,94,DCDC428352,RES,CLS,57 N St NW ,Washington,"Washington, DC",1.0,Jan-00,Unit/Flat/Apartment,7/23/2019,McWilliams/Ballard Inc. (MCWB1),474900.0,20001,"57 N St NW , Washington, DC 20001","(38.9073186150061, -77.0111520479494)",0
95,95,DCDC428314,RES,CLS,38 Seaton Pl NW,Washington,"Washington, DC",4.0,1-Feb,Row/Townhouse,6/27/2019,RE/MAX 100 (RMAX1017),825000.0,20001,"38 Seaton Pl NW, Washington, DC 20001","(38.9146397, -77.0104608668085)",0
96,96,DCDC427558,RES,CLS,43 U St NW,Washington,"Washington, DC",4.0,1-Mar,Row/Townhouse,7/1/2019,TTR Sotheby's International Realty (TTRS4),1399000.0,20001,"43 U St NW, Washington, DC 20001","(38.9171668, -77.0105471318149)",0
97,97,DCDC427552,RES,CLS,777 7th St NW ,Washington,"Washington, DC",1.0,Jan-00,Unit/Flat/Apartment,8/9/2019,METROHOMES REALTY LLC (MHRL1),410600.0,20001,"777 7th St NW , Washington, DC 20001","(38.89943779623, -77.0218104086193)",0
98,98,DCDC427560,RES,CLS,38 W St NW,Washington,"Washington, DC",4.0,2,Row/Townhouse,7/31/2019,TTR Sotheby's International Realty (TTRS8),817000.0,20001,"38 W St NW, Washington, DC 20001","(38.91900665, -77.0103129751168)",0
99,99,DCDC427710,RES,CLS,57 N St NW ,Washington,"Washington, DC",1.0,Jan-00,Unit/Flat/Apartment,7/31/2019,McWilliams/Ballard Inc. (MCWB1),499900.0,20001,"57 N St NW , Washington, DC 20001","(38.9073186150061, -77.0111520479494)",0
100,100,DCDC423880,RES,CLS,310 M St NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,6/21/2019,"McEnearney Associates, Inc. (MCE7)",355000.0,20001,"310 M St NW , Washington, DC 20001","(38.90548065, -77.015726032267)",0
101,101,DCDC427674,RES,CLS,1017 Fairmont St NW,Washington,"Washington, DC",3.0,3,Row/Townhouse,6/14/2019,Compass (COMPS2),732000.0,20001,"1017 Fairmont St NW, Washington, DC 20001","(38.9249848, -77.0263636604996)",0
102,102,DCDC427648,RES,CLS,500 M St NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,6/28/2019,McEnearney Associates (MCE14),398000.0,20001,"500 M St NW , Washington, DC 20001","(38.9054733, -77.0190977)",0
103,103,DCDC427394,RES,CLS,145 Adams St NW ,Washington,"Washington, DC",3.0,1-Feb,Row/Townhouse,6/27/2019,Compass (COMPS3),714500.0,20001,"145 Adams St NW , Washington, DC 20001","(38.9204172, -77.0136497118029)",0
104,104,DCDC427348,RES,CLS,149 W St NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,7/18/2019,Houwzer LLC (55732),389000.0,20001,"149 W St NW , Washington, DC 20001","(38.9194095, -77.0143029426863)",0
105,105,DCDC421512,RES,CLS,811 4th St NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,6/5/2019,Compass (COMPS1),480000.0,20001,"811 4th St NW , Washington, DC 20001","(38.90093145, -77.0159238735056)",0
