MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
DCDC424422,RES,CLS,3702 22nd St NE,Washington,"Washington, DC",3,1-Mar,Detached,7/1/2019,Compass (COMPS5),749900.00
DCDC424346,RES,CLS,2215 Bunker Hill Rd NE,Washington,"Washington, DC",5,Feb-00,Detached,7/12/2019,"Murrell, Inc., REALTORS (MRL2)",500000.00
DCDC423854,RES,CLS,1632 Otis St NE,Washington,"Washington, DC",4,2-Feb,Detached,6/10/2019,Keller Williams Flagship of Maryland (KWF1),590000.00
DCDC424196,RES,CLS,3205 Central Ave NE,Washington,"Washington, DC",4,Feb-00,Detached,6/28/2019,M Squared Real Estate LLC (MSQU1),410000.00
DCDC423744,RES,CLS,2013 Franklin St NE,Washington,"Washington, DC",5,1-Feb,Detached,6/24/2019,"Long & Foster Real Estate, Inc. (LNG196)",520000.00
DCDC424120,RES,CLS,3501 South Dakota Ave NE,Washington,"Washington, DC",3,2,Detached,6/6/2019,"Harbor Trust Realty Group, Inc. (HATR1)",429900.00
DCDC423414,RES,CLS,2800 18th St NE,Washington,"Washington, DC",4,3,Detached,6/14/2019,"RE/MAX Gateway, LLC (RMAX110)",725000.00
DCDC423518,RES,CLS,2707 18th St NE,Washington,"Washington, DC",4,1-Mar,Detached,6/5/2019,"Washington Fine Properties, LLC (WFP1)",759000.00
DCDC423818,RES,CLS,1620 Hamlin St NE,Washington,"Washington, DC",3,1-Feb,Detached,6/24/2019,"Evers & Co. Real Estate, A Long & Foster Company (EVR1)",780000.00
DCDC422200,RES,CLS,3164 Banneker Dr NE #3164,Washington,"Washington, DC",3,2,Unit/Flat/Apartment,6/11/2019,Keller Williams Capital Properties (KWCP5),339000.00
DCDC421904,RES,CLS,1334 Downing Pl NE #2,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/8/2019,Tower Hill Realty (THHR1),342500.00
DCDC421752,RES,CLS,2413 Newton St NE,Washington,"Washington, DC",4,1-Feb,Detached,6/28/2019,Redfin Corp (REFC3),521000.00
DCDC421880,RES,CLS,2613 Randolph St NE,Washington,"Washington, DC",3,1-Feb,Detached,8/1/2019,RLAH Real Estate (RLAH1),524500.00
DCDC421486,RES,CLS,2027 Newton St NE,Washington,"Washington, DC",4,1-Feb,Detached,6/21/2019,Compass (COMPS1),749000.00
DCDC421472,RES,CLS,1012 Rhode Island Ave NE,Washington,"Washington, DC",5,4,Detached,8/9/2019,Optime Realty (OPMR1),760000.00
DCDC421350,RES,CLS,2500 Baldwin Cres NE,Washington,"Washington, DC",4,1-Feb,End of Row/Townhouse,6/28/2019,Century 21 Redwood Realty (RDWG3),600000.00
DCDC421648,RES,CLS,2638 Coleman Ln NE,Washington,"Washington, DC",4,1-Apr,Row/Townhouse,6/14/2019,Tower Hill Realty (THHR1),868265.00
DCDC419904,RES,CLS,2504 18th St NE,Washington,"Washington, DC",4,1-Mar,Detached,8/1/2019,"Long & Foster Real Estate, Inc. (LNG196)",687680.00
DCDC420302,RES,CLS,1818 Bunker Hill Rd NE,Washington,"Washington, DC",3,1-Jan,Detached,6/30/2019,"Long & Foster Real Estate, Inc. (LNG147)",375000.00
DCDC401900,RES,CLS,2518 Baldwin Cres NE,Washington,"Washington, DC",4,1-Mar,Row/Townhouse,6/7/2019,"Long & Foster Real Estate, Inc. (LNG44)",690000.00
DCDC420058,RES,CLS,2927 26th St NE,Washington,"Washington, DC",3,2,Detached,7/3/2019,"Long & Foster Real Estate, Inc. (LNG147)",445000.00
DCDC420068,RES,CLS,2933 Carlton Ave NE,Washington,"Washington, DC",6,1-Apr,Detached,8/30/2019,"DC Real Property,LLC (DRPL1)",930000.00
DCDC419894,RES,CLS,3513 20th St NE,Washington,"Washington, DC",4,1-Mar,Detached,7/1/2019,"Independent Realty, Inc (INDR1)",785000.00
DCDC403874,RES,CLS,1815 Irving St NE,Washington,"Washington, DC",4,1-Mar,Twin/Semi-Detached,7/23/2019,Keller Williams Capital Properties (KWCP1),710000.00
DCDC402834,RES,CLS,3065 Clinton St NE,Washington,"Washington, DC",2,1,Detached,6/21/2019,RE/MAX Specialists (RMSP1),330000.00
DCDC402576,RES,CLS,1845 Channing St NE,Washington,"Washington, DC",3,1-Feb,End of Row/Townhouse,6/14/2019,"Urban Land Company, LLC (ULC1)",465000.00
DCDC400370,RES,CLS,3528 S Dakota Ave NE,Washington,"Washington, DC",3,Jan-00,Detached,8/17/2019,Owners.com (RHOM1),383000.00
DCDC401776,RES,CLS,1348 W St NE,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,7/29/2019,Metropol Realty (MTP1),306000.00
DCDC400188,RES,CLS,1813 Franklin St NE,Washington,"Washington, DC",3,Feb-00,Detached,7/29/2019,"Grateful Real Estate, Inc. (MCHE1)",430000.00
DCDC399660,RES,CLS,1234 Rhode Island Ave NE,Washington,"Washington, DC",3,1-Feb,Twin/Semi-Detached,7/30/2019,Redfin Corp (REFC3),569000.00
DCDC394768,RES,CLS,3156 Monroe St NE,Washington,"Washington, DC",4,1-Mar,Detached,6/14/2019,Keller Williams Preferred Properties (KWPP1),750000.00
DCDC310818,RES,CLS,2634 Coleman Ln NE,Washington,"Washington, DC",4,1-Apr,Row/Townhouse,6/4/2019,Tower Hill Realty (THHR1),828565.00
DCDC309384,RES,CLS,2207 Evarts St NE,Washington,"Washington, DC",3,1-Jan,Detached,7/16/2019,Keller Williams Preferred Properties (KWPP1),440000.00
DCDC309048,RES,CLS,2005 NE Lawrence St NE,Washington,"Washington, DC",4,1-Feb,Detached,6/20/2019,RE/MAX Specialists (RMSP1),595000.00
DCDC308304,RES,CLS,3735 Jamison St NE,Washington,"Washington, DC",3,1-Mar,Row/Townhouse,7/31/2019,Tower Hill Realty (THHR1),566940.00
DCDC307756,RES,CLS,3733 Jamison St NE,Washington,"Washington, DC",3,1-Mar,Row/Townhouse,7/9/2019,Tower Hill Realty (THHR1),585255.00
DCDC225690,RES,CLS,2705 Hamlin St NE,Washington,"Washington, DC",4,2,Detached,6/27/2019,Century 21 Redwood Realty (RDWG2),410000.00
DCDC102344,RES,CLS,3739 Jamison St NE,Washington,"Washington, DC",3,1-Mar,End of Row/Townhouse,7/11/2019,Tower Hill Realty (THHR1),679940.00
DCDC102080,RES,CLS,2839 27th St NE,Washington,"Washington, DC",3,1,Detached,8/8/2019,"Allfirst Realty, Inc. (AFRI1)",429000.00
1005530656,RES,CLS,3731 Jamison St NE,Washington,"Washington, DC",3,1-Mar,Row/Townhouse,7/11/2019,Tower Hill Realty (THHR1),572540.00
1005528568,RES,CLS,3738 Commodore Joshua Barney Dr NE,Washington,"Washington, DC",3,1-Mar,End of Row/Townhouse,6/3/2019,Tower Hill Realty (THHR1),716495.00
1002048662,RES,CLS,2632 Coleman Ln NE,Washington,"Washington, DC",3,1-Mar,Row/Townhouse,6/13/2019,Tower Hill Realty (THHR1),826770.00
1004284197,RES,CLS,2900 Rhode Island Ave NE,Washington,"Washington, DC",20,Aug-00,Detached,8/6/2019,Greenland Realty (GNLR1),780000.00
