Dir_Name_Display,Dir_School_Code,Dir_Street,Dir_City,Dir_State,Dir_Zip,Dir_School_Code - Longitude,Dir_School_Code - Latitude,Dir_Ward,Dir_Phone,Dir_Fax,Dir_Website,Principal_Name,Principal_Email,GR_Text,Hours,Highlight,Aca_Enr_1,Aca_Enr_2,Aca_Enr_3,Aca_Enr_4,Aca_Enr_5,Well_Fit_1,Well_Fit_2,Well_Fit_3,Well_Fit_4,Well_Fit_5,Art_Cult_1,Art_Cult_2,Art_Cult_3,Art_Cult_4,Art_Cult_5,SPED_1,SPED_2,SPED_3,SPED_4,SPED_5,SPED_6,Feed_1,Feed_2,Feed_3,Feed_4,Feed_5,Feed_6,Feed_7,Dest_1,Dest_2,Facil_Art,Facil_Audit,Facil_Comp,Facil_Gym,Facil_Media,Facil_Music,Facil_Outdoor_Rec,Facil_Pool,Facil_Science,After_care,Before_care,Uniform,Title_1,Offers_Guaranteed_PK3_PK4_Slots?,Family_Active_Parent_Org,Partner_1,Partner_2,Partner_3,Partner_4,Partner_5,Partner_6,Partner_7,Partner_8,Partner_9,Partner_10,Car_Path_1,Car_Path_2,Car_Path_3,Car_Path_4,Car_Path_5,Car_Path_6,Car_Path_7,Car_Path_8,Trans_Bus,Trans_Metro,AYP_Status,AYP_Status_Desc,Energy_Star_Rtg,DCPS_Recycles_Honor_Roll?,LEED_Level,Enroll_Total,Demo_Asian,Demo_Black,Demo_Hispanic,Demo_N.Amer,Demo_White,Demo_Multi,Demo_NHawPI,Demo_ELL,Demo_SPED,Demo_EconDis,Demo_Inboundary,math_pct_1_current,math_pct_1_prior,math_pct_2_current,math_pct_2_prior,math_pct_3_current,math_pct_3_prior,math_pct_4_current,math_pct_4_prior,math_pct_5_current,math_pct_5_prior,math_district_pct_1,math_district_pct_2,math_district_pct_3,math_district_pct_4,math_district_pct_5,ela_pct_1_current,ela_pct_1_prior,ela_pct_2_current,ela_pct_2_prior,ela_pct_3_current,ela_pct_3_prior,ela_pct_4_current,ela_pct_4_prior,ela_pct_5_current,ela_pct_5_prior,ela_district_pct_1,ela_district_pct_2,ela_district_pct_3,ela_district_pct_4,ela_district_pct_5,Perf_Grad_4yr_Current_Year,Perf_Grad_4yr_Prior_Year,Perf_Grad_4yr_District_Average,Perf_Grad_5yr_Current_Year,Perf_Grad_5yr_Prior_Year,Perf_Grad_5yr_District_Average,Perf_AP_Current_Year,Perf_AP_Prior_Year,Perf_AP_District_Average,Prog_Growth_Math_Current_Year,Prog_Growth_Math_Prior_Year,Prog_Growth_Math_District_Average,Prog_Growth_Read_Current_Year,Prog_Growth_Read_Prior_Year,Prog_Growth_Read_District_Average,Prog_9thGrade_Current_Year,Prog_9thGrade_Prior_Year,Prog_9thGrade_District_Average,Safe_ISA_Current_Year,Safe_ISA_Prior_Year,Safe_Attendance_District_Average,Safe_Truancy_Current_Year,Safe_Truancy_Prior_Year,Safe_Truancy_District_Average,Safe_Suspension_Current_Year,Safe_Suspension_Prior_Year,Safe_Suspension_District_Average,Safe_Incidents_Current_Year,Safe_Incidents_Prior_Year,Safe_Incidents_District_Average,Safe_Safety_Current_Year,Safe_Safety_Prior_Year,Safe_Safety_District_Average,Perf_Engage_Current_Year,Perf_Engage_Prior_Year,Perf_Engage_District_Average,Safe_Reenroll_Current_Year,Safe_Reenroll_Prior_Year,Safe_Reenroll_District_Average,Perf_Teachers_Current_Year,Perf_Teachers_Prior_Year,Perf_Teachers_District_Average,Unique_Defined1_Metric,Unique_Defined1_Description,Unique_Defined1_Current_Year,Unique_Defined1_Prior_Year,Unique_Defined1_District,Unique_Defined2_Metric,Unique_Defined2_Description,Unique_Defined2_Current_Year,Unique_Defined2_Prior_Year,Unique_Defined2_District
Ludlow-Taylor Elementary School,271,659 G St. NE,Washington,DC,20002,-76.99649249,38.89874414,6,(202) 698-3244,(202) 698-3250,ludlowtaylor.org,Andrew Smith,andrew.smith2@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"Ludlow-Taylor Elementary School is an outstanding school community comprised of a top-notch staff, involved parents, and diligent students. Our data demonstrates impressive growth over the past few years, as we move towards the highest level of achievement in DCPS.  To do so, we continue to move towards a student-centered approach to instruction, where the needs of each individual student are met, and strengths are furthered. Our goal is to encourage inquiry, creativity and a love of learning that begins with our Reggio approach in early childhood and continues through 5th grade. We are not only a Reward School, but also a National Blue Ribbon Award Winner.",FoodPrints,Kennedy Center for the Arts,Science Program,Leveled Literacy Intervention,Geoplunge,Girls on the Run,Ballet and Modern Dance,Baseball Club,Cheerleading,Tennis,Vocal/Instrumental Music,Visual Art,Yearbook Club,Robotics,Tennis,Communication & Education Support,Early Childhood Communication & Education Support,Early Learning Support,Independence & Learning Support,,,,,,,,,,428,,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,Kennedy Center Partnership,FoodPrints,Arts for Every Student,Everybody Wins,Everybody Wins,,,,,,,,,,,,,,90 92 D4 D6 D8 X1 X2 X9,Red Line: Union Station,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,46,,,373,2%,59%,6%,0%,29%,5%,0%,1%,16%,100%,34%,3%,7%,25%,27%,30%,26%,38%,34%,4%,5%,23%,27%,23%,23%,5%,4%,2%,9%,18%,25%,39%,50%,40%,11%,2%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,54%,27%,51%,58%,63%,54%,NA,NA,NA,95%,95%,93%,6%,7%,13%,1%,7%,4%,0%,0%,0%,89%,85%,85%,98%,89%,89%,89%,82%,81%,94%,96%,92%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,45%,54%,35%,PARCC math performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC Math.,25%,12%,21%
Mann Elementary School,273,4430 Newark St. NW,Washington,DC,20016,-77.08782619,38.93429231,3,(202) 282-0126,(202) 282-0128,www.horacemanndc.org,Liz Whisnant,elizabeth.whisnant@dc.gov,PK4-5th,8:45 a.m. – 3:15 p.m.,"A four-time recipient of the US Department of Education's Blue Ribbon School Award, Horace Mann Elementary School is a lively place of learning where curiosity and connection are celebrated.  With our diverse, multi-national population, we are both a global and close community of learners. We embrace academic choice and responsive teaching. Our recently renovated and expanded campus, which features a rooftop farm, arts classrooms, and an expansive outside playscape, invites us to learn within and beyond our school walls. Serious about our students' academic growth, we also believe that a school community must be a place of joy and celebration.",Reggio Emilia Early Childhood Program,Math Club,Chess Club,,,Responsive Classroom School,Roots of Empathy Pilot School,Full-time social worker,Girls on the Run,Stoddert Soccer Partnership,Weekly Art Studio Time,Performing Arts Classes,Musical Performances,Enrichment Choral Group (Notebusters),Field Trips,,,,,,,,,,,,,,246,,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,Girls on the Run,Roots of Empathy,American University School of Education,DC Greens,Lincoln Theatre,Peace of Mind Pilot Program,,,,,,,,,,,,,M4 N2 N4 N6,,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,73,Yes with Distinction,,379,7%,12%,13%,0%,65%,3%,0%,6%,6%,6%,80%,0%,1%,6%,6%,18%,16%,56%,57%,20%,19%,23%,27%,23%,23%,5%,1%,0%,5%,4%,15%,15%,60%,58%,19%,23%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,69%,68%,51%,59%,58%,54%,NA,NA,NA,95%,96%,93%,0%,0%,13%,0%,0%,4%,0%,0%,0%,98%,98%,85%,97%,98%,89%,87%,87%,81%,75%,92%,92%,Students with over 90% in-seat attendance,The percentage of students who have attended more than 90% of school days.,94%,97%,81%,IEP timeliness,The percentage of all IEP meetings that were held on time.,100%,100%,99%
Marie Reed Elementary School,284,2201 18th St. NW,Washington,DC,20011,-77.040822,38.919112,1,(202) 673-7308,(202) 671-5042,mariereedes.org,Katie Lundgren,katie.lundgren@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"Marie Reed Elementary School is a diverse, multi-lingual learning community dedicated to nurturing the whole child to develop the values, character, and knowledge to become global citizens.  

At Marie Reed, we are: 
•	A diverse population of students, families, and staff working together across differences to provide excellent opportunities for all students, 
•	Open-minded to other cultures and languages because it strengthens who we are as individuals and as a community, 
•	Focused on social and emotional growth in addition to academic excellence so our students have the ability to thrive in any environment, 
•	Dedicated to making learning fun and engaging through the use of movement, art, and music, 
•	A community of learners who welcome one another into our classrooms for collaboration and support.",Academic Power Hour,Everybody Wins!,Georgetown University DC Schools Tutors,Higher Achievement Program,"Daily, individualized 'Panther Time' for 1st-5th graders",DC SCORES (soccer and poetry),Girls on the Run,Tennis,Boys and Girls Basketball,Community of Hope Health Education,Dual Language Arts Focus School,Chess Club,Yoga Club,Spanish Poetry Festival,Music and Heritage Performances,Behavior & Education Support,,,,,,,,,,,,,442,420,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,Higher Achievement Program,DC Scores,Everybody Wins DC!,United Planning Organization Day Care,"Kirkland & Ellis, LLP",Washington International School,Manchester City Football Club,Washington Area Bicycle Association,,,,,,,,,,,42 43 L1 H1 90 96 S1 S2 S4 S9 X3 DCCirculator,,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,8,Yes,,398,6%,15%,63%,1%,13%,3%,0%,46%,10%,100%,33%,5%,7%,20%,20%,29%,31%,42%,39%,4%,4%,23%,27%,23%,23%,5%,11%,12%,20%,22%,30%,30%,36%,33%,3%,2%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,61%,68%,51%,61%,69%,54%,NA,NA,NA,94%,94%,93%,5%,4%,13%,2%,3%,4%,0%,0%,0%,95%,83%,85%,99%,96%,89%,89%,83%,81%,97%,97%,92%,Home visits per 100 students,The number of home visits made per 100 students in the school.,76,NA,40,TRC Proficiency,The percentage of students in testing proficient or above proficient in Text Reading Comprehension (TRC).,75%,77%,70%
Maury Elementary School,274,1250 Constitution Ave. NE,Washington,DC,20002,-76.9886575,38.89218519,6,(202) 698-3838,(202) 698-3844,mauryelementary.com,Carolyne Albert-Garvey,carolyne.albert-garvey@dc.gov,PK3-5th,8:40 a.m. – 3:15 p.m.,"Maury Elementary School is a small community-based school that offers students a personalized learning environment. Through work and in play, students discover their potential, embrace diversity and benefit from strong relationships with staff, parents and volunteers. Maury is committed to providing inquiry-based learning experiences, arts enrichment and academic programs that enhance students’ growth and development. Parents are always welcome and work closely with teachers to ensure that each child receives the attention he/she needs to succeed. At Maury, we educate the whole child in a safe, multidimensional environment.",iReady Math,Spelling Bee,Eureka and Singapore Math,Think Tank - Inquiry Based Learning,Reading Lunch Club,Basketball,Girls on the Run,Family Fitness Night,Cheerleading,Chinese Fan Dancing,Joy of Motion: Dance Class,Art Club,Art Around the Corner,Roots of Empathy,The Maury Empathy Project,,,,,,,,,,,,,,407,,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,National Gallery of Art - Art Around the Corner,Ashoka - Changemaker Schools,Junior Achievement,"Confucius Institute, George Mason University",,,,,,,,,,,,,,,90 92 96 97 B2 D6 X8,,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,5,Yes with Distinction,,387,3%,28%,5%,0%,57%,6%,0%,0%,6%,14%,79%,6%,13%,13%,25%,23%,19%,36%,32%,22%,12%,23%,27%,23%,23%,5%,6%,13%,18%,22%,16%,20%,46%,39%,15%,6%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,86%,40%,51%,72%,38%,54%,NA,NA,NA,96%,96%,93%,1%,0%,13%,0%,1%,4%,0%,0%,0%,89%,94%,85%,92%,97%,89%,87%,89%,81%,89%,88%,92%,,,,,,,,,,
Moten Elementary School,285,1565 Morris Rd. SE,Washington,DC,20020,-76.98294368,38.856656,8,(202) 698-1111,(202) 698-1112,www.motenelementary.com,Akela Stanfield-Dogbe,akela.dogbe@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"At Moten Elementary School we *educate every child everyday*. We serve our PK3-5th grade students through  arts-integrated instruction, social and emotional academic development, and community school structures. Our mission is to create and promote a community of artists and scholars. Students receive course offerings in Instrumental and Choral Music, Visual Art, Spanish, and Library alongside a rigorous English Language Arts and STEM curricula. We value parents as partners and leverage community partnerships to provide equitable education. Our students are taught that the world is their laboratory and provided a global education that informs their ability to think critically and solve the problems of the world that surrounds them.",OST Academic Power Hour,Junior Cadet Program,Embassy Adoption Program,Literacy Lab,Young Playwrights,DC Scores,Girls on the Run,Cheerleading,BOKS,Field of Dreams,TurnAround Arts,Kennedy Center Partnership,Choir,Instrumental Music,Washington Ballet,Early Learning Support,,,,,,,,,,,,,417,,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,Martha's Table,Turning the Page,Communities in Schools,DC Greens,,,,,,,,,,,,,,,94 W2 W3 W6 W8,,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",50,,In Progress,405,0%,97%,2%,0%,0%,0%,0%,0%,12%,100%,65%,37%,31%,32%,43%,22%,19%,9%,7%,0%,0%,23%,27%,23%,23%,5%,41%,51%,31%,32%,21%,14%,7%,3%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,47%,47%,51%,54%,45%,54%,NA,NA,NA,88%,90%,93%,35%,4%,13%,6%,4%,4%,0%,0%,0%,67%,74%,85%,89%,82%,89%,74%,77%,81%,80%,96%,92%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,40%,30%,35%,IEP timeliness,The percentage of all IEP meetings that were held on time.,100%,100%,99%
Murch Elementary School @ UDC,287,3373 Van Ness St. NW,Washington,DC,20008,-77.067415,38.943543,3,(202) 282-0130,(202) 282-0132,www.murchschool.org,Chris Cebrzynski,chris.cebrzynski@dc.gov,PK4-5th,8:00 a.m – 4:00 p.m.,"Murch is a Pre-K through 5th grade school. As an organization, we believe in continuous improvement, having each child reach high levels of achievement, and maintaining a focus on results. Our teachers operate in a collaborative culture in order to plan for and provide quality instruction that meets the individual learner's needs. We provide enrichment for students who need a greater challenge and intervention for those students who struggle with the formal curriculum and need additional support to develop an understanding of the concepts being taught. We have many opportunities for students to be involved in after school clubs and activities. Murch is a strong and tight-knit community that celebrates its diversity, its sense of community, and its history.",Schoolwide Enrichment Model,Flex Academies,Geoplunge Competition,,,Girls on the Run,Boys and Girls Basketball,Track & Field,Cross Country,Adventure to Fitness,International Night,School Musical/Play,School Choir,Guitar Club,Art Club,Specific Learning Support,,,,,,,,,,,,,405,,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,Politics & Prose,,,,,,,,,,,,,,,,,,D32 H2 L1 L2,Red Line: Van Ness-UDC Station,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,44,,,572,10%,12%,10%,0%,59%,5%,2%,8%,8%,10%,75%,6%,3%,6%,10%,16%,17%,54%,47%,18%,24%,23%,27%,23%,23%,5%,4%,6%,10%,10%,13%,18%,54%,53%,19%,13%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,48%,46%,51%,72%,53%,54%,NA,NA,NA,96%,98%,93%,2%,1%,13%,0%,0%,4%,0%,0%,0%,93%,96%,85%,96%,96%,89%,90%,85%,81%,91%,82%,92%,,,,,,,,,,
Nalle Elementary School,288,219 50th St. SE,Washington,DC,20019,-76.93079651,38.88595442,7,(202) 671-6280,(202) 645-3196,profiles.dcps.dc.gov/Nalle+Elementary+School,Kim Adutwum,kim.adutwum@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"At John Carroll Nalle Elementary School our vision is to develop academically talented scholars with a heart to serve the local and global community. Through strong partnership with Freddie Mac and the National Center for Children and Families we have provided wrap around supports for students and their  families utilizing the community schools approach. Our school has an extended day  with students arriving as early as 8:00am and dismissed by 5:30pm. Students receive course offerings in art, music, technology, Spanish, Health and Physical Education and Library. The Kennedy Center and the Washington Performing Arts Society provide students with artist in residency experiences, in school performances and field trips to plays and musical performances. We continue to implement a 1:1 iPad program with a strong emphasis on blended learning.",Primary and Elementary Montessori,Extended Day Program,Mixed Aged Head Start Model,Blended Learning,Morning and Afternoon Tutoring,National Center for Children and Families,Gardening Club,Playworks,"Girls on the Run, Track, Volleyball, Soccer","Cheeleading, Majorettes, Pom Poms",Washington Performing Arts,Kennedy Center Partnership School,School Newspaper,International Travel,,,,,,,,,,,,,,,421,,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,National Center for Children and Families,Freddie Mac,Reading Partners,DC Reads,DC Scores,National Capital Area Food Bank,Kennedy Center,First Baptist Church of Marshall Heights,,,,,,,,,,,96 97 E32 U5 U6 U8 W4,,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,13,,,391,0%,92%,7%,0%,0%,0%,0%,1%,11%,100%,57%,28%,21%,26%,32%,25%,28%,19%,19%,2%,1%,23%,27%,23%,23%,5%,35%,35%,28%,32%,22%,24%,13%,10%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,60%,75%,51%,51%,58%,54%,NA,NA,NA,94%,96%,93%,0%,1%,13%,5%,9%,4%,0%,0%,0%,70%,78%,85%,87%,92%,89%,81%,78%,81%,100%,100%,92%,,,,,,,,,,
Orr Elementary School,291,2200 Minnesota Ave. SE,Washington,DC,20020,-76.97448402,38.87179716,8,(202) 671-6240,(202) 645-3292,www.orrelementary.org/,Carolyn Jackson-King,carolyn.jackson-king@dc.gov,PK3-5th,8:40a.m. - 4:15p.m.-- M-Th  & 8:40a.m. - 3:15p.m.--Fri.,"Orr Elementary School is located in Southeast DC. In addition to offering a high-quality core curriculum and teaching Social Studies and Science, our students also have the opportunity to participate in our arts program, library media center, music, computer, art, foreign language, and physical education classes. To supplement our rigorous academic curriculum, we offer a variety of extracurricular activities including our partnerships with Young Playwrights Theater, SHINE, and DC Scores.  We offer our working parents before and after care while also including soccer, basketball, Girls on the Run and many clubs to keep students engaged after school. We have a brand new, state-of-the-art library and a parent center run by our full-time parent coordinator.",Tools of the Mind,Balanced Literacy,Zuckerman & Spaeder (GeoPlunge),Extended Day,Afterschool Program,DC Scores,Backpack Project,Boy and Girl Scouts of America,Girls Who Run,Track,DC Arts Collaborative,Garden Club,GeoPlunge,Drama Club,Chess Club,,,,,,,,,,,,,,417,,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,Zuckerman & Spaeder,Dept. of Justice,Hands on DC,DC Arts Education Collabortive,DC Scores,,,,,,,,,,,,,,30N 30S 32 34 36 39 A31 D51 B2 M6 V1 V2 V4 DCCirculator,,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,20,Yes with Distinction,,408,0%,97%,2%,0%,0%,0%,0%,0%,11%,100%,39%,22%,27%,27%,35%,37%,23%,14%,15%,1%,1%,23%,27%,23%,23%,5%,27%,30%,35%,31%,25%,25%,12%,13%,1%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,61%,61%,51%,45%,45%,54%,NA,NA,NA,92%,93%,93%,16%,6%,13%,2%,3%,4%,0%,0%,0%,81%,92%,85%,96%,96%,89%,83%,78%,81%,88%,100%,92%,,,,,,,,,,
Oyster-Adams Bilingual School,292,2801 Calvert St. NW and 2020 19th St. NW,Washington,DC,20008,-77.05720337,38.92359583,3,(202) 671-6130,(202) 671-3087,www.oysteradamsbilingual.org,Mayra Canizales,mayra.canizales@dc.gov,PK4-8th,8:45 a.m. – 3:15 p.m.,"For more than 40 years, Oyster-Adams Bilingual Education Campus has served as a model for dual-language education in the District of Columbia and nationwide. Children learn 50% of their academic content in English and 50% in Spanish. While learning in a bilingual environment, our students develop their intellect and academic knowledge in two languages at the same time. The cultural diversity within Oyster-Adams forges long-lasting friendships among students and families from different cultural and linguistic backgrounds, nationalities and socio-economic levels and fosters fairness and leadership for everyone. Oyster-Adams won the TEAM Award for academic achievement in 2010. Oyster-Adams is housed at two separate facilities. Our Primary Campus (serving grades PK–3) is in Woodley Park and our Intermediate Campus (serving grades 4–8) is in Adams Morgan. Both campuses implement a full dual-immersion program.
",Math Counts,Chess,Science Fair,Spelling Bee,Concurso de Poesia,"DCPS Sports (grades 4-8): Boys/Girls Basketball, Girls Volleyball, Boys/Girls Soccer, Boys/Girls Cross Crounty and Track, Boys Baseball",Boys/Girls Soccer,Boys/Girls Cross Country and Track,Boys Baseball,Flamenco,City Dance,Ford's Theater – Speak Like the Presidents (Oratory),Musical Theater,Spanish Drama,Spanish Summer Camp,Early Learning Support,,,,,,,,,,,,,463,,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,US Chess Center,Petit Plats,The Washington Hilton,The World Bank,The Ford Foundation,Spanish Embassy,Marriot Wardman Park,Teatro de la Luna,Open City,Sport 4 Sharing,,,,,,,,,42 43 96 H1 L1 L2 X3,Primary Campus: Red Line: Woodley Park-Zoo Metro Station,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,58,Yes with Distinction,,674,2%,5%,58%,0%,30%,4%,0%,15%,10%,23%,46%,4%,5%,12%,13%,29%,28%,46%,43%,10%,11%,23%,27%,23%,23%,5%,3%,5%,8%,12%,20%,24%,52%,48%,16%,12%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,60%,57%,51%,68%,57%,54%,NA,NA,NA,96%,97%,93%,2%,1%,15%,0%,1%,4%,0%,0%,0%,95%,94%,86%,91%,90%,85%,92%,92%,82%,94%,88%,92%,,,,,,,,,,
Patterson Elementary School,294,4399 South Capitol Terr. SW,Washington,DC,20032,-77.00848471,38.82696636,8,(202) 939-5280,(202) 645-3851,http://walter-b-patterson-elementary.amt-webbing4you.com/,Victorie Thomas,victorie.thomas@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"At W.B. Patterson Elementary School, we are dedicated to serving our students in preschool through the 5th grade. Located in Southwest DC, our faculty and staff work extremely hard to ensure that our students are successful both inside and outside the classroom. Our teachers, parents and community partners interact collaboratively to create a safe and nurturing environment that provides access to the highest quality education to all students through instructional excellence, technology integration and artistic expression.",Academic Power Hour,Reading Recovery and Reading Partners,BURST and Level Literacy Intervention,Naval Research Laboratory,Creative Curriculum,Ski Club,Boys Basketball,Girl and Boy Scouts,Flag Football,Girls on the Run,Student Government,Choir,Spanish Club,Drama Club,Science Club,Communication & Education Support,Early Childhood Communication & Education Support,Early Learning Support,,,,,,,,,,,413,,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,yes,no,no,Flamboyan,Kennedy Center,Blacks In Government,Heart of America,"Outreach Solutions, Inc.",Turning the Page,Department of Behavioral Health,Naval Research Laboratory,AARP,Far Southeast Family Strengthening Collaborative,,,,,,,,,A2 A4 A8 A9 W1 W5 W9,,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",21,,,394,0%,99%,1%,0%,0%,0%,0%,0%,22%,100%,68%,30%,27%,36%,41%,21%,25%,13%,7%,1%,1%,23%,27%,23%,23%,5%,37%,35%,23%,33%,30%,26%,10%,6%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,34%,45%,51%,40%,38%,54%,NA,NA,NA,93%,89%,93%,0%,1%,13%,9%,13%,4%,0%,0%,0%,81%,88%,85%,90%,92%,89%,78%,81%,81%,100%,100%,92%,,,,,,,,,,
Payne Elementary School,295,1445 C St. SE,Washington,DC,20003,-76.984984,38.885171,6,(202) 698-3262,(202) 698-3263,http://paynedc.org/,Stephanie Byrd,stephanie.byrd@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"Payne Elementary School is where genius lives!
We grow self-efficacy and school pride by acknowledging each students innate ability to learn and by cultivating individual genius. Each member of the Payne community is committed to ensuring growth and intellectual development through rigorous study in a nurturing and engaging learning community.",School Choir,Robotics Club,Science Club,Creative Curriculum,,DC Scores,Girls on the Run,Flag Football,Basketball,Tennis,Student Government,"REACH, Inc",,,,Behavior & Education Support,Sensory Support - Hearing,,,,,,,,,,,,407,,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,"Kappa Lambda Chi, Service Fraternity",U.S. Department of Transportation,Arthur Ashe Tennis Foundation,U.S. Green Building Council,Harris Teeter Inc.,Live It Learn It,Safeway Store Inc.,,,,,,,,,,,,30N 30S 32 34 36 39 96 97 B2 M6 V1 V4 DCCirculator,Blue/Orange/Silver Lines: Stadium-Armory Station,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,62,,In Progress,300,0%,76%,4%,0%,16%,4%,0%,3%,15%,100%,42%,19%,16%,23%,34%,33%,28%,24%,20%,2%,2%,23%,27%,23%,23%,5%,17%,22%,28%,36%,39%,34%,15%,8%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,47%,48%,51%,44%,40%,54%,NA,NA,NA,91%,92%,93%,33%,18%,13%,4%,2%,4%,0%,0%,0%,72%,88%,85%,88%,96%,89%,72%,80%,81%,87%,96%,92%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,41%,32%,35%,PARCC math performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC Math.,25%,23%,21%
