Dir_Name_Display,Dir_School_Code,Dir_Street,Dir_Zip,AYP_Status,AYP_Status_Desc,Energy_Star_Rtg,Enroll_Total,Prog_Growth_Math_Current_Year,Prog_Growth_Read_Current_Year,Perf_Growth,Safe_ISA_Current_Year,Safe_Attendance_District_Average,Safe_Truancy_Current_Year,Safe_Suspension_Current_Year,Safe_Incidents_Current_Year,Safe_Safety_Current_Year,Perf_Safe,Perf_Teacher,Perf_Engage_Current_Year
Drew Elementary School,231,5600 Eads St. NE,20019,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",62,253,22%,30%,0.26,92%,93%,3%,1%,0%,79%,2.6,1,0.76
Eaton Elementary School,232,3301 Lowell St. NW,20008,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,31,477,70%,79%,0.75,96%,93%,0%,0%,0%,95%,2.84,0.94,0.99
Garfield Elementary School,238,2435 Alabama Ave. SE,20020,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",48,301,47%,57%,0.52,91%,93%,8%,1%,0%,90%,2.65,0.91,1
Garrison Elementary School,239,1200 S St. NW,20009,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,73,253,36%,36%,0.36,94%,93%,10%,0%,0%,90%,2.67,0.91,0.96
Hardy Middle School,246,1819 35th St. NW,20007,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,35,374,50%,57%,0.54,94%,92%,0%,9%,0%,88%,2.65,0.96,0.81
Hearst Elementary School,258,3950 37th St. NW,20008,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,23,312,55%,62%,0.59,96%,93%,0%,1%,0%,94%,2.82,0.87,0.94
Hendley Elementary School,249,425 Chesapeake St. SE,20032,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",63,445,57%,48%,0.53,89%,93%,31%,8%,0%,93%,2.36,0.87,0.95
Houston Elementary School,251,1100 50th Pl. NE,20019,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",51,299,50%,50%,0.50,91%,93%,30%,5%,0%,81%,2.3,1,0.77
Hyde-Addison Elementary School @ Meyer,252,2501 11th St. NW,20001,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,100,329,58%,60%,0.59,95%,93%,7%,1%,0%,91%,2.71,0.96,0.9
Janney Elementary School,254,4130 Albemarle St. NW,20016,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,7,722,78%,81%,0.80,96%,93%,0%,0%,0%,96%,2.85,0.84,0.97
Ketcham Elementary School,257,1919 15th St. SE,20020,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,9,309,70%,48%,0.59,89%,93%,20%,12%,0%,89%,2.39,0.93,0.96
Key Elementary School,272,5001 Dana Pl. NW,20016,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,53,397,47%,71%,0.59,96%,93%,4%,1%,0%,96%,2.8,0.96,0.96
Kimball Elementary School @ Davis,259,4430 H St. SE,20019,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,56,372,69%,56%,0.63,92%,93%,17%,10%,0%,81%,2.39,1,0.91
Lafayette Elementary School,261,5701 Broad Branch Rd. NW,20015,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,93,761,66%,65%,0.66,96%,93%,0%,0%,0%,98%,2.87,0.96,0.97
Langdon Elementary School,262,1900 Evarts St. NE,20018,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",64,323,46%,48%,0.47,93%,93%,9%,4%,0%,87%,2.6,1,0.99
Bruce-Monroe Elementary School @ Park View,296,3560 Warder St. NW,20010,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,98,473,43%,58%,0.51,94%,93%,11%,0%,0%,85%,2.61,0.91,0.88
LaSalle-Backus Education Campus,264,501 Riggs Rd. NE,20011,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",5,369,52%,55%,0.54,91%,93%,11%,7%,0%,81%,2.47,1,0.72
Ludlow-Taylor Elementary School,271,659 G St. NE,20002,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,46,373,54%,58%,0.56,95%,93%,6%,1%,0%,89%,2.7,0.94,0.98
Mann Elementary School,273,4430 Newark St. NW,20016,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,73,379,69%,59%,0.64,95%,93%,0%,0%,0%,98%,2.86,0.75,0.97
Marie Reed Elementary School,284,2201 18th St. NW,20011,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,8,398,61%,61%,0.61,94%,93%,5%,2%,0%,95%,2.75,0.97,0.99
Maury Elementary School,274,1250 Constitution Ave. NE,20002,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,5,387,86%,72%,0.79,96%,93%,1%,0%,0%,89%,2.77,0.89,0.92
Moten Elementary School,285,1565 Morris Rd. SE,20020,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",50,405,47%,54%,0.51,88%,93%,35%,6%,0%,67%,2.07,0.8,0.89
Murch Elementary School @ UDC,287,3373 Van Ness St. NW,20008,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,44,572,48%,72%,0.60,96%,93%,2%,0%,0%,93%,2.8,0.91,0.96
Nalle Elementary School,288,219 50th St. SE,20019,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,13,391,60%,51%,0.56,94%,93%,0%,5%,0%,70%,2.52,1,0.87
Orr Elementary School,291,2200 Minnesota Ave. SE,20020,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,20,408,61%,45%,0.53,92%,93%,16%,2%,0%,81%,2.48,0.88,0.96
Oyster-Adams Bilingual School,292,2801 Calvert St. NW and 2020 19th St. NW,20008,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,58,674,60%,68%,0.64,96%,93%,2%,0%,0%,95%,2.82,0.94,0.91
Patterson Elementary School,294,4399 South Capitol Terr. SW,20032,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",21,394,34%,40%,0.37,93%,93%,0%,9%,0%,81%,2.58,1,0.9
Payne Elementary School,295,1445 C St. SE,20003,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,62,300,47%,44%,0.46,91%,93%,33%,4%,0%,72%,2.19,0.87,0.88
Plummer Elementary School,299,4601 Texas Ave. SE,20019,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,54,391,74%,52%,0.63,92%,93%,8%,4%,0%,71%,2.44,0.92,0.76
Powell Elementary School,300,1350 Upshur St. NW,20011,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,19,534,66%,56%,0.61,95%,93%,3%,2%,0%,87%,2.7,0.86,0.9
Raymond Education Campus,302,915 Spring Rd. NW,20010,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,67,613,49%,49%,0.49,95%,93%,8%,1%,0%,95%,2.74,0.9,0.92
Ross Elementary School,305,1730 R St. NW,20009,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,41,171,85%,74%,0.80,96%,93%,3%,0%,0%,100%,2.86,0.91,1
Savoy Elementary School,307,2400 Shannon Pl. SE,20020,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",29,315,38%,50%,0.44,90%,93%,45%,8%,0%,71%,2.01,0.94,0.89
Seaton Elementary School,309,1503 10th St. NW,20001,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,70,341,59%,55%,0.57,94%,93%,8%,0%,0%,90%,2.69,0.93,0.94
Shepherd Elementary School,313,7800 14th St NW,20012,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,35,361,68%,63%,0.66,96%,93%,4%,0%,0%,88%,2.73,0.91,0.85
Simon Elementary School,315,401 Mississippi Ave. SE,20032,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,32,276,31%,38%,0.35,93%,93%,16%,5%,0%,88%,2.53,0.76,0.96
Stoddert Elementary School,321,4001 Calvert St. NW,20007,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,18,435,75%,66%,0.71,95%,93%,1%,0%,0%,97%,2.84,0.93,0.98
Takoma Education Campus,324,7010 Piney Branch Rd. NW,20012,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,58,468,51%,51%,0.51,91%,93%,19%,6%,0%,75%,2.34,0.97,0.73
Thomas Elementary School,325,650 Anacostia Ave. NE,20019,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,55,409,27%,19%,0.23,90%,93%,45%,5%,0%,69%,2.02,1,0.65
Thomson Elementary School,326,1200 L St. NW,20005,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,48,314,75%,64%,0.70,95%,93%,1%,0%,0%,87%,2.74,0.93,0.94
Truesdell Education Campus,327,800 Ingraham St. NW,20011,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,41,679,53%,70%,0.62,93%,93%,10%,1%,0%,76%,2.51,0.9,0.82
Tubman Elementary School,328,3101 13th St. NW,20010,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,60,542,56%,52%,0.54,94%,93%,16%,5%,0%,65%,2.31,0.91,0.65
Turner Elementary School,329,3264 Stanton Rd. SE,20032,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",23,484,60%,37%,0.49,89%,93%,58%,5%,0%,73%,1.92,1,0.85
Tyler Elementary School,330,1001 G St. SE,20003,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,68,514,56%,45%,0.51,95%,93%,3%,2%,0%,90%,2.73,0.91,0.9
Walker-Jones Education Campus,332,1125 New Jersey Ave. NW,20001,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,11,451,51%,50%,0.51,90%,93%,44%,14%,0%,74%,1.99,0.89,0.66
Watkins Elementary School (Capitol Hill Cluster),333,420 12th St. SE,20003,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,63,436,69%,61%,0.65,96%,93%,3%,3%,0%,83%,2.66,1,0.84
Deal Middle School,405,3815 Fort Dr. NW,20016,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,1,1477,59%,62%,0.61,95%,92%,5%,3%,0%,92%,2.71,0.8,0.86
Eliot-Hine Middle School,407,1830 Constitution Ave. NE,20002,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,48,200,37%,45%,0.41,92%,92%,10%,21%,1%,65%,2.17,0.93,0.53
School Without Walls @ Francis-Stevens,409,2425 N St. NW,20037,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,52,471,68%,59%,0.64,93%,93%,13%,3%,0%,91%,2.61,0.94,0.88
Hart Middle School,413,601 Mississippi Ave. SE,20032,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,52,349,45%,45%,0.45,91%,92%,13%,29%,2%,75%,2.14,0.96,0.77
J.O. Wilson Elementary School,339,660 K St. NE,20002,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,21,495,41%,44%,0.43,93%,93%,26%,5%,0%,84%,2.39,0.88,0.83
Johnson Middle School,416,1400 Bruce Pl. SE,20020,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",41,252,41%,41%,0.41,88%,92%,38%,29%,2%,83%,1.94,0.94,0.83
Kelly Miller Middle School,421,301 49th St. NE,20019,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,14,449,42%,46%,0.44,88%,92%,47%,32%,3%,75%,1.73,0.95,0.66
King Elementary School,344,3200 6th St. SE,20032,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,32,374,52%,41%,0.47,87%,93%,60%,12%,0%,71%,1.79,1,0.85
Kramer Middle School,417,1700 Q St. SE,20020,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",12,193,30%,37%,0.34,92%,92%,6%,41%,4%,63%,1.96,NA,0.5
MacFarland Middle School,420,4400 Iowa Ave. NW,20011,,,,69,38%,48%,0.43,95%,92%,15%,3%,0%,85%,2.54,NA,0.9
Sousa Middle School,427,3650 Ely Pl. SE,20019,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,32,255,44%,37%,0.41,89%,92%,40%,22%,2%,74%,1.91,0.92,0.63
Stuart-Hobson Middle School (Capitol Hill Cluster),428,410 E St. NE,20002,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,29,431,40%,63%,0.52,93%,92%,4%,12%,0%,78%,2.47,0.88,0.6
West Education Campus,336,1335 Farragut St. NW,20011,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,4,315,65%,52%,0.59,94%,93%,10%,2%,0%,90%,2.65,0.93,0.93
Wheatley Education Campus,335,1299 Neal St. NE,20002,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,18,321,42%,58%,0.50,90%,93%,28%,5%,0%,81%,2.31,0.9,0.79
Whittier Education Campus,338,6201 5th St. NW,20011,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,71,341,67%,65%,0.66,93%,93%,17%,1%,0%,97%,2.65,0.93,0.98
Anacostia High School,450,1601 16th St. SE,20020,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",50,449,NA,NA,NA,63%,78%,69%,28%,1%,77%,1.2,0.93,0.69
Benjamin Banneker High School,402,800 Euclid St. NW,20001,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,78,482,NA,NA,NA,94%,78%,6%,1%,0%,97%,2.62,0.86,0.85
Cardozo Education Campus,454,1200 Clifton St. NW,20009,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",88,797,48%,58%,0.53,75%,80%,62%,12%,0%,82%,1.63,0.9,0.86
Columbia Heights Education Campus,442,3101 16th St. NW,20010,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,27,1336,64%,53%,0.59,84%,80%,54%,5%,1%,84%,1.88,0.94,0.82
Coolidge High School,455,6315 5th St. NW,20011,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",81,346,NA,NA,NA,85%,78%,37%,8%,0%,81%,1.99,0.86,0.73
Eastern High School,457,1700 East Capitol St. NE,20003,Priority,,60,818,NA,NA,NA,76%,78%,67%,13%,2%,86%,1.58,0.91,0.8
Capitol Hill Montessori School @ Logan,360,215 G Street NE,20002,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,90,361,79%,77%,0.78,95%,93%,8%,1%,0%,96%,2.75,0.89,0.94
Langley Elementary School,370,101 T Street NE,20002,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,60,284,15%,30%,0.23,90%,93%,30%,11%,0%,71%,2.13,0.79,0.7
Jefferson Middle School Academy,433,801 7th St. SW,20024,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,38,305,60%,55%,0.58,90%,92%,22%,30%,1%,83%,2.12,0.88,0.75
McKinley Middle School,435,151 T. St. NE,20002,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,34,213,47%,51%,0.49,89%,92%,57%,12%,0%,85%,1.97,1,0.83
Dorothy I. Height Elementary School,349,1300 Allison St. NW,20011,,,,518,59%,58%,0.59,93%,93%,10%,1%,0%,85%,2.6,0.97,0.83
Brookland Middle School,347,1150 Michigan Ave NE,20017,,,,254,36%,32%,0.34,92%,92%,28%,26%,2%,70%,1.98,NA,0.53
Ron Brown College Preparatory High School,436,4800 Meade St. NE,20019,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,,105,NA,NA,NA,80%,78%,75%,5%,1%,87%,1.64,NA,0.94
Ballou High School,452,3401 4th St. SE,20032,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",74,930,NA,NA,NA,64%,78%,82%,27%,1%,84%,1.16,0.88,0.84
Dunbar High School,467,101 N St. NW,20001,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",70,584,NA,NA,NA,75%,78%,65%,16%,1%,90%,1.61,0.91,0.86
Duke Ellington School of the Arts,471,3500 R St. NW,20007,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,48,537,NA,NA,NA,89%,78%,29%,3%,1%,92%,2.26,NA,0.65
Leckie Education Campus,266,4201 M.L. King Ave. SW,20032,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,31,553,36%,42%,0.39,94%,93%,4%,3%,0%,73%,2.53,0.96,0.8
Luke C. Moore High School,884,1001 Monroe St. NE,20017,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",12,266,NA,NA,NA,55%,78%,78%,4%,0%,96%,1.47,1,0.99
McKinley Technology High School,458,151 T St. NE,20002,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,34,619,NA,NA,NA,91%,78%,31%,9%,0%,92%,2.21,0.91,0.69
Miner Elementary School,280,601 15th St. NE,20002,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,55,384,24%,37%,0.31,92%,93%,1%,12%,0%,63%,2.35,0.96,0.48
Noyes Elementary School,290,2725 10th St. NE,20018,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,16,197,58%,49%,0.54,94%,93%,6%,9%,0%,86%,2.58,1,0.86
"Phelps Architecture, Construction and Engineering High School",478,704 26th St. NE,20002,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,,328,NA,NA,NA,83%,78%,79%,5%,0%,86%,1.63,0.88,0.68
Randle Highlands Elementary School,316,1650 30th St. SE,20020,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,6,333,57%,57%,0.57,93%,93%,10%,6%,0%,77%,2.47,1,0.88
Roosevelt High School,459,4301 13th St. NW,20011,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",90,668,NA,NA,NA,76%,78%,67%,12%,0%,84%,1.59,0.96,0.86
