Name,Physical Address,Tel
St. Mary's Preschool and Extended Day,"ALEXANDRIA, VA 22314",(703) 549-1646
,228 S. Pitt Street,
St. Paul's Nursery and Day School,"ALEXANDRIA, VA 22314",(703) 549-1974
,5708 Merton Court,
Teddy Bear Day Care - Merton Court,"ALEXANDRIA, VA 22311",(703) 671-7382
,375 S. Reynolds Street,
Teddy Bear Day Care and Preschool-Reynolds Street,"ALEXANDRIA, VA 22304",(703) 370-5777
,3918 A Bruce Street #101,
The Child & Family Network Centers - Chirilagua Site,"ALEXANDRIA, VA 22305",(703) 836-0214
,3801 Mt Vernon Ave.,
The Child and Family Network Centers - 3801 Mt. Vernon,"ALEXANDRIA, VA 22305",(703) 836-0214
,25 West Reed Avenue,
The Child and Family Network Centers - Cora Kelly,"ALEXANDRIA, VA 22305",(703) 836-0214
,101 S. Whiting Street,
The Child and Family Network Centers - South Whiting Site,Suite 216 A & B,(703) 836-0214 (235)
,"ALEXANDRIA, VA 22304",
,3700 Wheeler Avenue,
The Child and Family Network Centers - Wheeler,"ALEXANDRIA, VA 22304",(703) 836-0214
,100 & 108 E. Windsor Avenue,
The Del Ray Montessori School,"ALEXANDRIA, VA 22301",(703) 380-1241
,721 N. Columbus Street,
The Flagstone School,"ALEXANDRIA, VA 22314",(703) 683-7114
,2609 Mount Vernon Avenue,
The Nest Academy,"ALEXANDRIA, VA 22301",(703) 549-1549
,1500 King Street,
Tiny Tots Playroom,Suite 105,(703) 683-5130
,"ALEXANDRIA, VA 22314",
,2911 Cameron Mills Road,
Trinity Preschool,"ALEXANDRIA, VA 22302",(703) 549-7422
,3606 Seminary Road,
Valley Drive Preschool,"ALEXANDRIA, VA 22302",(703) 519-3737
,1001 N. Fairfax Street,
Vinci School Alexandria North,"ALEXANDRIA, VA 22314",(703) 838-2028
,1601 Duke Street,
Vinci School of Alexandria,"ALEXANDRIA, VA 22314",(703) 838-2021
,2701 Cameron Mills Road,
Westminster Weekday Preschool,"ALEXANDRIA, VA 22302",(703) 549-5267
,420 East Monroe Avenue,
YMCA Alexandria,"ALEXANDRIA, VA 22301",(703) 838-8085
,700 West Braddock Road,
YMCA/Metro-First Assembly of God,"ALEXANDRIA, VA 22302",(571) 982-3997
