name,loc_type,street,town,other_address
Vein Clinics of America,Clinics,4900 Seminary Rd Ste 100,"Alexandria, VA 22311",
Family Medicine Associates of Alexandria,Clinics,1800 N Beauregard St Ste 250,"Alexandria, VA 22311",
A Woman's Choice,Clinics,6201 Leesburg Pike Ste 220,"Falls Church, VA 22044",
Urology - VHC Physician Group,Clinics,1600 N Beauregard St,"Alexandria, VA 22311",
Professional Hearing Services,Clinics,6231 Leesburg Pike Ste 512,"Falls Church, VA 22044",
Virginia Cancer Specialists - Alexandria,Clinics,4660 Kenmore Ave Ste 1018,"Alexandria, VA 22304",
Alexandria Podiatry Associates,Clinics,3543 W Braddock Rd Ste B1,"Alexandria, VA 22302",
"Addis Chiropractic & Physical Medicine, P.C.",Clinics,3541 W Braddock Rd Ste 203,"Alexandria, VA 22302",
Center-Integrative Medicine,Clinics,908 New Hampshire Ave NW Ste 200,"Washington, DC 20037",
Ear Nose & Throat Medical Group,Clinics,2021 K St NW Ste 210,"Washington, DC 20006",
Allcare Foot And Ankle Center,Clinics,313 Park Ave,"Falls Church, VA 22046",
"Cenegenics Washington, D.C.",Clinics,1715 N St NW,"Washington, DC 20036",
Primary Care Falls Church - VHC Physician Group,Clinics,400 S Maple Ave Ste 200,"Falls Church, VA 22046",
Target - Pharmacy,Clinics,6100 Arlington Blvd,"Falls Church, VA 22044",
"Gardner Jr, Charles W, MD",Clinics,4401 Ford Ave Ste 250,"Alexandria, VA 22302",
Nalin G Patel Md Pc,Clinics,5242 Dawes Ave,"Alexandria, VA 22311",
Gahres Edward E M D LTD,Clinics,5021 Seminary Rd Ste 109,"Alexandria, VA 22311",
All Pediatrics,Clinics,1500 N Beauregard St Ste 200,"Alexandria, VA 22311",
Michelle M Roeser MD,Clinics,6231 Leesburg Pike,"Falls Church, VA 22044",
Alexandria Neighborhood Health Srv Inc,Clinics,3802 Executive Ave Apt D1,"Alexandria, VA 22305",
Fairfax Northern Virginia Hematology Oncology,Clinics,4660 Kenmore Ave,"Alexandria, VA 22304",
Potomac Urology,Clinics,4660 Kenmore Ave Ste 1120,"Alexandria, VA 22304",
Medical Faculty Associates Inc,Clinics,4660 Kenmore Ave,"Alexandria, VA 22304",
Ribeiro Foot & Ankle Center,Clinics,4660 Kenmore Ave Ste 602,"Alexandria, VA 22304",
Cn Internal Medicine,Clinics,4660 Kenmore Ave Ste 604,"Alexandria, VA 22304",
MedStar Medical Group At Alexandria,Clinics,3610c King St,"Alexandria, VA 22302",
DaVita,Clinics,3223 K St NW,"Washington, DC 20007",
"Glew Jr, William B, MD",Clinics,3000 K St NW,"Washington, DC 20007",
Gastroenterology Associates,Clinics,3800 Reservoir Rd NW,"Washington, DC 20007",
Cox James,Clinics,3800 Reservoir Rd NW,"Washington, DC 20007",
Pain Management Institute of DC,Clinics,2112 F St NW Ste 802a,"Washington, DC 20037",
Abortion Services,Clinics,2112 F St NW,"Washington, DC 20037",
Katzow Jacob J,Clinics,3 Washington Cir NW Ste 406,"Washington, DC 20037",
Jemsek Specialty Clinic,Clinics,2440 M St NW Ste 205,"Washington, DC 20037",
Medstar Neurosurgery,Clinics,2440 M St NW,"Washington, DC 20037",
Promd Health DC,Clinics,2440 M St NW,"Washington, DC 20037",
Pullman & Ariza Pediatrics,Clinics,2440 M St NW Ste 422,"Washington, DC 20037",
Children's Pediatricians-Assoc,Clinics,2141 K St NW Ste 401,"Washington, DC 20037",
Heart House,Clinics,2400 N St NW Fl 7,"Washington, DC 20037",
Lasik Vision,Clinics,1120 New Hampshire Ave NW,"Washington, DC 20037",
DaVita,Clinics,2233 Wisconsin Ave NW Ste 214,"Washington, DC 20007",
"Corbin, Samuel, PT",Clinics,6565 Arlington Blvd,"Falls Church, VA 22042",
Medstar Ambulatory Services,Clinics,1120 20th St NW,"Washington, DC 20036",
Core Wellness & Physical Therapy,Clinics,2212 Mount Vernon Ave,"Alexandria, VA 22301",
Total Health Physical Therapy,Clinics,1712 I St NW Ste 305,"Washington, DC 20006",
Professional Sports Care & Rehab,Clinics,1150 18th St NW,"Washington, DC 20036",
1132 FMC Alexandria,Clinics,4141 Duke St,"Alexandria, VA 22304",
Planned Parenthood,Clinics,1120 Connecticut Ave NW,"Washington, DC 20036",
Susan J Mann,Clinics,1001 Connecticut Ave NW,"Washington, DC 20036",
Planned Parenthood,Clinics,1001 Connecticut Ave NW Ste 410,"Washington, DC 20036",
Planned Parenthood,Clinics,370 S Washington St,"Falls Church, VA 22046",
DaVita,Clinics,5150 Duke St,"Alexandria, VA 22304",
Dupont Circle Dialysis Center,Clinics,11 Dupont Cir NW Ste Ll100,"Washington, DC 20036",
Planned Parenthood,Clinics,1108 16th St NW,"Washington, DC 20036",
DaVita,Clinics,2131 K St NW Ste 300,"Washington, DC 20037",
Washington Infectious Diseases,Clinics,2311 M St NW Ste 401,"Washington, DC 20037",
Falls Church Healthcare Center,Clinics,900 S Washington St Ste 300,"Falls Church, VA 22046",
Unity Health Care inc.,Clinics,1100 New Jersey Ave SE,"Washington, DC 20003",
Standard  Health Care Training Services,Clinics,1057 W Broad St,"Falls Church, VA 22046",
Ace Orthodontics,Clinics,2841 Hartland Rd Ste 302,"Falls Church, VA 22043",
Alexandria Immediate Care,Clinics,6020 Richmond Hwy Ste 102,"Alexandria, VA 22303",
"Stellar Dental, LLC",Clinics,5813 Eastern Ave,"Hyattsville, MD 20782",
TB Chest Clinic,Clinics,1900 Massachusetts Ave SE,"Washington, DC 20003",
Medics USA,Clinics,2750 14th St NW,"Washington, DC 20009",
Total Renal Care,Clinics,810 1st St NE Ste 100,"Washington, DC 20002",
Passport Health Tysons Corner,Clinics,7777 Leesburg Pike Ste 208s,"Falls Church, VA 22043",
Premier Patient Healthcare,Clinics,6355 Walker Ln Ste 310,"Alexandria, VA 22310",
Childrens Hospital,Clinics,3029 Martin Luther King Jr Ave SE,"Washington, DC 20032",
The Chronic pain center,Clinics,6417 Loisdale Rd Ste 311,"Springfield, VA 22150",
Falls Church Urgent Care,Clinics,920 W Broad St Ste B,"Falls Church, VA 22046",
Healthsouth Diagnostic Center,Clinics,5454 Wisconsin Ave Ste 1765,"Chevy Chase, MD 20815",
Mercy Services Health Inc,Clinics,5411 Backlick Rd,"Springfield, VA 22151",
United Medical Center,Clinics,1310 Southern Ave SE,"Washington, DC 20032",
Bethesda Immediate Care,Clinics,8305 Wisconsin Ave,"Bethesda, MD 20814",
MinuteClinic,Clinics,1275 Pennsylvania Ave NW,"Washington, DC 20004",
Old Dominion Urgent Care Center,Clinics,6262 Old Dominion Dr,"Mc Lean, VA 22101",
MinuteClinic,Clinics,655 K St NW,"Washington, DC 20001",
Loehmanns Walk in clinic,Clinics,7283 Arlington Blvd,"Falls Church, VA 22042",
MinuteClinic,Clinics,4555 Wisconsin Ave NW,"Washington, DC 20016",
MinuteClinic,Clinics,7205 Little River Tpke,"Annandale, VA 22003",
Med Star Health,Clinics,660 Pennsylvania Ave SE,"Washington, DC 20003",
MinuteClinic,Clinics,1452 Chain Bridge Rd,"Mc Lean, VA 22101",
Eastern Roots Wellness,Clinics,1497 Chain Bridge Rd Ste 103,"Mc Lean, VA 22101",
Max Robinson Center,Clinics,2301 Martin Luther King Jr Ave SE,"Washington, DC 20020",
Unity Health Care,Clinics,1220 12th St SE,"Washington, DC 20003",
MedStar Promptcare At Chevy Chase,Clinics,5454 Wisconsin Ave Ste 401,"Chevy Chase, MD 20815",
Med Star Health Cardiology Associates,Clinics,106 Irving St NW Suite 4800N,"Washington, DC 20010",
Cowork Medical,Clinics,5550 Friendship Blvd,"Chevy Chase, MD 20815",
MinuteClinic,Clinics,1636 Belle View Blvd,"Alexandria, VA 22307",
MinuteClinic,Clinics,845 Bladensburg Rd NE,"Washington, DC 20002",
Advanced Integrative Rehabilitation Center,Clinics,1749 Old Meadow Rd Ste 200,"Mc Lean, VA 22102",
The Breast Feeding Center of Northern Virginia,Clinics,8316 Arlington Blvd Ste 300,"Fairfax, VA 22031",
Be Well IV Hydration and Vitamin Therapy,Clinics,8100 Boone Blvd Ste 300,"Vienna, VA 22182",
Inova Medical Group Neurosurgery,Clinics,8503 Arlington Blvd Ste 200,"Fairfax, VA 22031",
Dominion Urgent Care,Clinics,6370 Springfield Plz,"Springfield, VA 22150",
Inova Medical Group Endocrinology,Clinics,6355 Walker Ln,"Alexandria, VA 22310",
MinuteClinic,Clinics,7809 Wisconsin Ave,"Bethesda, MD 20814",
MinuteClinic,Clinics,3921 Prosperity Ave,"Fairfax, VA 22031",
Association-Intl Healthcare,Clinics,1444 I St NW Ste 700,"Washington, DC 20005",
Women's Center for Breast Diagnosis,Clinics,3301 New Mexico Ave NW,"Washington, DC 20016",
Washington Area Clinic Defense,Clinics,1616 P St NW,"Washington, DC 20036",
Femilift DC,Clinics,5215 Loughboro Rd NW,"Washington, DC 20016",
Alexandria Medical Clinic,Clinics,2849 Duke St,"Alexandria, VA 22314",
Comprehensive Medical Center,Clinics,6391 Little River Tpke,"Alexandria, VA 22312",
Physical Therapy & Sports Inst,Clinics,2877 Duke St,"Alexandria, VA 22314",
MedStar Medical Group At Adams Morgan,Clinics,1805 Columbia Rd NW,"Washington, DC 20009",
Unity Health Care Inc,Clinics,1631 14th St NW,"Washington, DC 20009",
Clinical,Clinics,1701 14th St NW,"Washington, DC 20009",
Professional Sports Care-Rehab,Clinics,409 3rd St SW,"Washington, DC 20024",
Unity Health Care Inc,Clinics,850 Delaware Ave SW,"Washington, DC 20024",
Slim Clinics,Clinics,901 N Pitt St Ste 150,"Alexandria, VA 22314",
Unity Health Care-Columbia,Clinics,1660 Columbia Rd NW,"Washington, DC 20009",
Medstar,Clinics,4910 Massachusetts Ave NW,"Washington, DC 20016",
Clinical Research Advantage,Clinics,4228 Wisconsin Ave NW,"Washington, DC 20016",
Essential Health Center,Clinics,7202 Arlington Blvd Ste 301,"Falls Church, VA 22042",
Quantum Clinical Trials,Clinics,3801 Connecticut Ave NW Ste 100b,"Washington, DC 20008",
MedStar Si Tel,Clinics,3007 Tilden St NW Ste 3l,"Washington, DC 20008",
Childrens Hospital,Clinics,2220 11th St NW,"Washington, DC 20001",
Navreth Clinic,Clinics,2017 Vermont Ave NW,"Washington, DC 20001",
Precision Ambulatory Surgical Services Consultants,Clinics,4101 Albemarle St NW Apt 414,"Washington, DC 20016",
Washington Wellness Physical Therapy,Clinics,25 Massachusetts Ave NW,"Washington, DC 20001",
Providene Health System,Clinics,128 M St NW,"Washington, DC 20001",
Children's Environmental Health,Clinics,110 Maryland Ave NE Ste 505,"Washington, DC 20002",
"Wilkerson, Shandra A",Clinics,35 K St NE,"Washington, DC 20002",
Care Rehab & Orthopedics,Clinics,Po Box 580,"Mc Lean, VA 22101",
Magnum Medical Ventures,Clinics,5510 Cherokee Ave,"Alexandria, VA 22312",
District of Columbia,Clinics,3720 Martin Luther King Jr Ave SE,"Washington, DC 20032",
Foxhall Lesley C,Clinics,150 K St NE,"Washington, DC 20002",
Unity Health Care At Woodson,Clinics,540 F Street Ter SE,"Washington, DC 20003",
Capital Breast Care Center,Clinics,650 Pennsylvania Ave SE,"Washington, DC 20003",
Mclean Health Clinic,Clinics,6707 Old Dominion Dr Ste 300,"Mc Lean, VA 22101",
Metro Immediate Care,Clinics,220 L St NE,"Washington, DC 20002",
Unity Health Care Inc,Clinics,801 Pennsylvania Ave SE,"Washington, DC 20003",
Unity Health Care Inc,Clinics,635 I St NE,"Washington, DC 20002",
Children's Primary Care Health,Clinics,111 Michigan Ave NW,"Washington, DC 20010",
All Health PLC,Clinics,6832 Old Dominion Dr,"Mc Lean, VA 22101",
"Dorsett, Laura E",Clinics,6829 Elm St,"Mc Lean, VA 22101",
"Durney, Caitlin",Clinics,1221 Taylor St NW,"Washington, DC 20011",
David Drew Executive Health,Clinics,5454 Wisconsin Ave Ste 1410,"Chevy Chase, MD 20815",
Next Health,Clinics,5101 River Rd,"Bethesda, MD 20816",
Women's Clinic,Clinics,110 Irving St NW,"Washington, DC 20010",
Concierge Physical Therapists,Clinics,2016 3rd St NE,"Washington, DC 20002",
Primary Care Red,Clinics,50 Irving St NW,"Washington, DC 20422",
Jung Mercy Clinic,Clinics,7535 Little River Tpke,"Annandale, VA 22003",
Mary's Center,Clinics,4304 Georgia Ave NW,"Washington, DC 20011",
International Medical Center,Clinics,7601 Little River Tpke Ste 100,"Annandale, VA 22003",
Medical Faculty Assoc,Clinics,2041 Georgia Ave NW,"Washington, DC 20060",
Guo Sydney S,Clinics,2921 Telestar Ct,"Falls Church, VA 22042",
Associates Aphaeresis,Clinics,3289 Woodburn Rd Ste 350,"Annandale, VA 22003",
Capital City Sleep Ctr,Clinics,1310 Southern Ave SE # 4436,"Washington, DC 20032",
G Unlimited,Clinics,2935 Gallows Rd,"Falls Church, VA 22042",
Digitrace Care Services,Clinics,3299 Woodburn Rd Ste 250,"Annandale, VA 22003",
Tuberculosis Clinic,Clinics,1905 E St SE,"Washington, DC 20003",
Medgen Urgent Care,Clinics,7307 Macarthur Blvd,"Bethesda, MD 20816",
Kambia Medical Service,Clinics,1647 Benning Rd NE,"Washington, DC 20002",
Whole Health Medical Center,Clinics,6910 Richmond Hwy,"Alexandria, VA 22306",
Unity Health Care,Clinics,1201 Brentwood Rd NE,"Washington, DC 20018",
Hibp Medical Services,Clinics,6911 Richmond Hwy Ste 425,"Alexandria, VA 22306",
Exodus Treatment,Clinics,2757 Langston Pl SE,"Washington, DC 20020",
MinuteClinic,Clinics,6700 Wisconsin Ave,"Chevy Chase, MD 20815",
Fairfax Convenient Care,Clinics,8301 Arlington Blvd Ste 100,"Fairfax, VA 22031",
Agape Medical Service,Clinics,1924 Benning Rd NE,"Washington, DC 20002",
Transitions Healthcare Capitol City,Clinics,2425 25th St SE,"Washington, DC 20020",
Children's National Medical Center,Clinics,2600 Naylor Rd SE,"Washington, DC 20020",
"Chappelle, Kahlil Ali",Clinics,2526 Pennsylvania Ave SE,"Washington, DC 20020",
Alta Medical Inc,Clinics,6512 Bannockburn Dr,"Bethesda, MD 20817",
Children's National Medical Center,Clinics,2501 Good Hope Rd SE,"Washington, DC 20020",
Arhtritis & Osteoporosis Center Of Fairfax,Clinics,3027 Javier Rd,"Fairfax, VA 22031",
"Nordlinger, Allison S",Clinics,7201 Wisconsin Ave,"Bethesda, MD 20814",
Jones Branch,Clinics,7921 Jones Branch Dr,"Mc Lean, VA 22102",
Resurgent Sports Rehab,Clinics,8500 Executive Park Ave,"Fairfax, VA 22031",
Urgent Care Walk In,Clinics,6323 Georgia Ave NW,"Washington, DC 20011",
Lifetree,Clinics,6323 Georgia Ave NW,"Washington, DC 20011",
Unity Health Care Inc,Clinics,2100 New York Ave NE,"Washington, DC 20002",
Whittenburg Beverly Dr,Clinics,6355 Walker Ln Ste 507,"Alexandria, VA 22310",
International Medical Center,Clinics,5410 Port Royal Rd,"Springfield, VA 22151",
Comprehensive Medical Center,Clinics,6791 Frontier Dr,"Springfield, VA 22150",
Gil Center,Clinics,8626 Lee Hwy Ste 200,"Fairfax, VA 22031",
Create Therapy Institute,Clinics,4905 Del Ray Ave,"Bethesda, MD 20814",
Tri Service Clinic,Clinics,8218 Wisconsin Ave Ste P16,"Bethesda, MD 20814",
Harmony In Health Primary Care and Wellness,Clinics,7598 Telegraph Rd,"Alexandria, VA 22315",
1st Medical Of Annapolis,Clinics,5620 Saint Barnabas Rd,"Oxon Hill, MD 20745",
Neuro Health Ctr,Clinics,8405 Greensboro Dr Ste 120,"Mc Lean, VA 22102",
Centers For Motivation,Clinics,5410 Mckinley St,"Bethesda, MD 20817",
Unity Health Care,Clinics,3924 Minnesota Ave NE,"Washington, DC 20019",
Hillcrest Womens Surgi-Center,Clinics,7603 Georgia Ave NW,"Washington, DC 20012",
National Rural Health Association,Clinics,1108 K St NW Fl 2,"Washington, DC 20005",
Barney Neighborhood House,Clinics,930 Farragut St NW,"Washington, DC 20011",
Alexandria Women's Health Clinic,Clinics,101 S Whiting St Ste 215,"Alexandria, VA 22304",
"Speech Beginnings, PLC",Clinics,6208 Redwood Ln,"Alexandria, VA 22310",
The Mckaigs,Clinics,3131 Connecticut Ave NW Apt 2509,"Washington, DC 20008",
"Unity Health Care-Alliance: Juliet A Ibrahim, MD",Clinics,1100 1st St NW,"Washington, DC 20001",
Unity Health Care,Clinics,3720 Martin Luther King Jr Ave SE,"Washington, DC 20032",
Unity Health Care,Clinics,1700 E Capitol St NE,"Washington, DC 20003",
The Vein Centers of Fairfax Radiological Consultants,Clinics,8505 Arlington Blvd Ste 400,"Fairfax, VA 22031",
Family Healthcare,Clinics,4208 Evergreen Ln,"Annandale, VA 22003",
Unity Health Care,Clinics,2700 Martin Luther King Jr Ave SE,"Washington, DC 20032",
Unity Health Care,Clinics,2146 24th Pl NE,"Washington, DC 20018",
Unity Health Care Inc,Clinics,425 2nd St NW,"Washington, DC 20001",
Annandale Women & Family Center,Clinics,2839 Duke St,"Alexandria, VA 22314",
Astoria Laser Clinic & Med Spa,Clinics,2106 Gallows Rd,"Vienna, VA 22182",
"Dr. M Tarek Orfaly, MD",Clinics,6355 Walker Ln Ste 308,"Alexandria, VA 22310",
Mary's Center,Clinics,2333 Ontario Rd NW,"Washington, DC 20009",
Friendship Heights Chiropractic,Clinics,5100 Wisconsin Ave NW Ste 251,"Washington, DC 20016",
Howard University Hospital,Clinics,2041 Georgia Ave NW,"Washington, DC 20060",
"Dr. Hema Annam Sundaram, MD",Clinics,8316 Arlington Blvd,"Fairfax, VA 22031",
Ace Care,Clinics,900 S Washington St Ste 112,"Falls Church, VA 22046",
Capital Womens Care,Clinics,3023 Hamaker Ct Ste 210a,"Fairfax, VA 22031",
Total Women's Care,Clinics,6196 Oxon Hill Rd Ste 630,"Oxon Hill, MD 20745",
Fairfax Radiology,Clinics,2722 Merrilee Dr Ste 230,"Fairfax, VA 22031",
Yedam Well-Being Center,Clinics,7310 Mcwhorter Pl Ste B,"Annandale, VA 22003",
Fairfax Prince William Hmtlgy,Clinics,8503 Arlington Blvd,"Fairfax, VA 22031",
Free Abortion Alternatives,Clinics,1200 G St NW,"Washington, DC 20005",
Dr Cecilia C Cuellar,Clinics,4000 Albemarle St NW Ste 203,"Washington, DC 20016",
Columbia Road Health Service,Clinics,1660 Columbia Rd NW,"Washington, DC 20009",
DaVita,Clinics,8501 Arlington Blvd Ste 100,"Fairfax, VA 22031",
Progressive Radiology,Clinics,7799 Leesburg Pike Ste 1000n,"Falls Church, VA 22043",
Kool Smiles,Clinics,1531 Maryland Ave NE,"Washington, DC 20002",
Esthetic Laser Clinic,Clinics,8381 Old Courthouse Rd Ste 300,"Vienna, VA 22182",
Inova Medical Group,Clinics,7617 Little River Tpke Ste 600,"Annandale, VA 22003",
"The Gilbert Clinic, Inc.",Clinics,7315 Wisconsin Ave,"Bethesda, MD 20814",
Total Release,Clinics,5506 Connecticut Ave NW Ste 22,"Washington, DC 20015",
Farrell Physical Therapy,Clinics,8218 Wisconsin Ave Ste 218,"Bethesda, MD 20814",
DaVita,Clinics,5999 Stevenson Ave Ste 100,"Alexandria, VA 22304",
Body In Balance Center,Clinics,1423 Powhatan St Ste 7,"Alexandria, VA 22314",
Capital Center for Psychotherapy and Wellness,Clinics,1330 U St NW Fl 3,"Washington, DC 20009",
DaVita,Clinics,810 1st St NE,"Washington, DC 20002",
Ashton Physical Therapy Center,Clinics,5510 Cherokee Ave Ste 250,"Alexandria, VA 22312",
Planned Parenthood - Carol Whitehill Moses Center,Clinics,1225 4th St NE,"Washington, DC 20002",
Plastic Surgery Assoc,Clinics,1300 Chain Bridge Rd Ste 200,"Mc Lean, VA 22101",
Dr. Roma Akosua Edoo-Sowah M.D.,Clinics,6845 Elm St,"Mc Lean, VA 22101",
