,formatted_address,geometry,icon,id,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,types,user_ratings_total,Zip Code
10,"800 7th St NW Suite 305, Washington, DC 20001, USA","{'location': {'lat': 38.89997899999999, 'lng': -77.022121}, 'viewport': {'northeast': {'lat': 38.90132837989272, 'lng': -77.02067382010728}, 'southwest': {'lat': 38.89862872010728, 'lng': -77.02337347989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,84edfec3e5ce384de216f3745626fda91035b090,Starbucks,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113510694762684340206/photos"">CELSO OKUSHI</a>'], 'photo_reference': 'CmRaAAAApELxYNhIe7klM1hSDGXqZd1iypu_qV3KybxzfUVB-vzVSgFmUUEr-8oc2wcyP6z6UXpCU30O7jXrt3zRaX2M2CY9a8xKOyh46a_V1kTVftIOJQPxTgngrOaJJRE4P9cbEhBj_N9SSFB0EH9byQR-flfdGhS9M6lOA_6p26J_2noEclrLBuE6eg', 'width': 3024}]",ChIJ5R3YBpK3t4kRYmpsDZs_hOU,"{'compound_code': 'VXXH+X5 Washington, District of Columbia', 'global_code': '87C4VXXH+X5'}",2,3.9,ChIJ5R3YBpK3t4kRYmpsDZs_hOU,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",442,20001
11,"490 L St NW, Washington, DC 20001, USA","{'location': {'lat': 38.903605, 'lng': -77.01873499999999}, 'viewport': {'northeast': {'lat': 38.90480392989272, 'lng': -77.01748247010727}, 'southwest': {'lat': 38.90210427010727, 'lng': -77.0201821298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,3fa896a3b68090b5414a3f4c1097b8e3ab563d92,Starbucks,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116650538154821399659/photos"">Ben Henry</a>'], 'photo_reference': 'CmRaAAAACcDtd2s3K8XPeiU3ibmBCaEkqlNxaiazYUOv09EzT3RMx360S5r_AnvhPwrmlpLa3dlDZmEDJA1aeu0gNLSmSj2yHm0HPnbIJV51DF4ZiBhQF9O98NeBcz97w900E3ocEhA9QUklqsEp2vtGoxKEuDyRGhSwWyCsQGM1y4w2-ig2pj6OmMD19g', 'width': 4032}]",ChIJb0jcx4y3t4kRA-j7A1UyTTE,"{'compound_code': 'WX3J+CG Washington, District of Columbia', 'global_code': '87C4WX3J+CG'}",2,3.6,ChIJb0jcx4y3t4kRA-j7A1UyTTE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",73,20001
12,"650 Massachusetts Ave NW, Washington, DC 20001, USA","{'location': {'lat': 38.90148140000001, 'lng': -77.02169339999999}, 'viewport': {'northeast': {'lat': 38.90309617989273, 'lng': -77.02018112010727}, 'southwest': {'lat': 38.90039652010729, 'lng': -77.02288077989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,b6a76720d76a8f763d570769cee160a70ac08534,DeliZique,{'open_now': False},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108775782943555243840/photos"">Matt Guthrie</a>'], 'photo_reference': 'CmRaAAAAMe7kaaLFMuL4BWfcsfvd3fd1MGsseDOccJDxqLgQy2uh2UX2ahmxCIeHYZKCFM9aQJDr5NeMrDYYirOfz8OS_q0xHpNsjCxtqjS582B9jTRvnnMEcq65r5FGsl5B1-mDEhCB6HqiXew8coPSJCrjWrXPGhSr4-5HnzoroRZNJg7ahXakBL7lZA', 'width': 3403}]",ChIJt87LgI23t4kRG1276mC9GaU,"{'compound_code': 'WX2H+H8 Washington, District of Columbia', 'global_code': '87C4WX2H+H8'}",,4.2,ChIJt87LgI23t4kRG1276mC9GaU,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",52,20001
13,"916 G St NW, Washington, DC 20001, USA","{'location': {'lat': 38.8980051, 'lng': -77.02491599999999}, 'viewport': {'northeast': {'lat': 38.89951337989272, 'lng': -77.02356642010727}, 'southwest': {'lat': 38.89681372010728, 'lng': -77.02626607989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,f4f7538110c9e054d2112113c5962f9c62953aff,Urban Roast,,"[{'height': 1082, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116430615281643204385/photos"">A Google User</a>'], 'photo_reference': 'CmRaAAAASuAd5YI99ggtCO6f-wrILHalSV1CZnIbQGyof7xEj4JRYWz007jvEHw5lmSfJb-sfqYVv9xwsqvgVQc3grul5fXGQgI__V5Vjd3-X7pLCI0KleKHSccWHPVzORuOB22jEhC2QrP8z9-otAr0Cgar9YUGGhRsGU8XXQhm_9leq_iROoeUNY3hBg', 'width': 1077}]",ChIJ7_urgUS3t4kRazOIOoFZKxw,"{'compound_code': 'VXXG+62 Washington, District of Columbia', 'global_code': '87C4VXXG+62'}",,0,ChIJ7_urgUS3t4kRazOIOoFZKxw,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",0,20001
14,"440 1st St NW, Washington, DC 20001, USA","{'location': {'lat': 38.89562, 'lng': -77.012351}, 'viewport': {'northeast': {'lat': 38.89696982989273, 'lng': -77.01090997010726}, 'southwest': {'lat': 38.89427017010728, 'lng': -77.01360962989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,8dc58fb2822854320d6174b8d586d3ab8dc887c8,Sandwiches by Phillip™,{'open_now': False},"[{'height': 1552, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100948391256473143064/photos"">Arnold Thomas Bigger</a>'], 'photo_reference': 'CmRaAAAAUBuiG1O1FL0cK2CAghaREr8RVJ7VCCjZ7FHEyqEub6JE4W4qpkjv6iU2zf9gAXwkYYOucUnOtOUX_ZZADjpMsqwqLWyYAmHL6SwU1P6glFTDAmqrBi0rMjEI7YOwIyBOEhBMwFGt6gFQh8zomSWJZxXYGhRRZvP4Cm_YwR6skLoffCJrDTkvMg', 'width': 2592}]",ChIJceeuRIi3t4kR_zJ9G8sphOw,"{'compound_code': 'VXWQ+63 Washington, District of Columbia', 'global_code': '87C4VXWQ+63'}",2,4.3,ChIJceeuRIi3t4kR_zJ9G8sphOw,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",158,20001
15,"500 New Jersey Ave NW, Washington, DC 20001, USA","{'location': {'lat': 38.896288, 'lng': -77.011848}, 'viewport': {'northeast': {'lat': 38.89771417989272, 'lng': -77.01044522010729}, 'southwest': {'lat': 38.89501452010727, 'lng': -77.01314487989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,93dfee55cff26eb48d550e9ec5b6c7f9961feb40,Starbucks,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108015475527241614229/photos"">John S.</a>'], 'photo_reference': 'CmRaAAAAQzd1vhVUWfdh5mQ6KwJ5EIWgFiW7EL01P9A5dC6ql9XFagxkgY7vAxfuUv8CaDFsA5NzKjqPXi33NPyfZSjRlwB0H2QSWI7913WbMONsdI-W1WeTtzJj_lrTDJuU2GFdEhD7f174GOgI_FsQIxs3bDMYGhQp-cZOVBE9lejRlW7UU92mk8SjmA', 'width': 1920}]",ChIJ9YKRyYm3t4kRSWiB1dtHxWA,"{'compound_code': 'VXWQ+G7 Washington, District of Columbia', 'global_code': '87C4VXWQ+G7'}",2,3.7,ChIJ9YKRyYm3t4kRSWiB1dtHxWA,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",328,20001
16,"1700 1st St NW, Washington, DC 20001, USA","{'location': {'lat': 38.912753, 'lng': -77.012428}, 'viewport': {'northeast': {'lat': 38.91409712989272, 'lng': -77.01114407010728}, 'southwest': {'lat': 38.91139747010727, 'lng': -77.01384372989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,8fae873e6b3c7cce5919842627aae58617458807,Big Bear Cafe,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104631204463894847040/photos"">Darko Lazarevic</a>'], 'photo_reference': 'CmRaAAAAva9yk4boVoZYckkWO6HiFOMHSiV9MoKqqCH3lY1sTPqSpDH8kzot2x0bpR6FUiyQI9kdIGHDfTAHY9yaqOrk8sccqSthLQXXuA-RtocjcsdzSDnrbScXwH_gpxTR0bc0EhDm7NKSoN0qS9Q1RWe4KOkBGhQqGscrEGTHzBHpejogyWBBKqUr5g', 'width': 3264}]",ChIJWbmml_e3t4kRDzgyQ5HJP_c,"{'compound_code': 'WX7Q+42 Washington, District of Columbia', 'global_code': '87C4WX7Q+42'}",2,4.3,ChIJWbmml_e3t4kRDzgyQ5HJP_c,"['cafe', 'bakery', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",645,20001
17,"650 F St NW, Washington, DC 20004, USA","{'location': {'lat': 38.8971665, 'lng': -77.02101669999999}, 'viewport': {'northeast': {'lat': 38.89860502989271, 'lng': -77.01965047010727}, 'southwest': {'lat': 38.89590537010726, 'lng': -77.0223501298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,a6d2e9bf49a96057b76e7f005ae3533bdd2d4f22,Compass Coffee,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117730076110633798473/photos"">Mario Stylianou</a>'], 'photo_reference': 'CmRaAAAArwYVtybxd3tm9E9yYnDlP1YyQQrWgCF6IKK7DN1PS8LNmdF-hfkZGZABt1wQOD12VVS6SZGIQLWiLg7bu0uaqSroQfZZE9y9dflKzHotq-29VQBW9gu9bAGn76RnY4MREhCRKLfc6kgxba-4CAn9VBfDGhS0w7XVHwa3o6REJkkUqlwo5XfOcw', 'width': 4608}]",ChIJZZ7tMo63t4kRY-Vyom1jCRs,"{'compound_code': 'VXWH+VH Washington, District of Columbia', 'global_code': '87C4VXWH+VH'}",1,4.5,ChIJZZ7tMo63t4kRY-Vyom1jCRs,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",817,20004
18,"924 Blagden Alley NW, Washington, DC 20001, USA","{'location': {'lat': 38.9066197, 'lng': -77.02491619999999}, 'viewport': {'northeast': {'lat': 38.90789007989272, 'lng': -77.02355077010728}, 'southwest': {'lat': 38.90519042010727, 'lng': -77.02625042989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,678482523207dbe0a34642d6e33486d0d9ac44f9,La Colombe Coffee Roasters,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103407223865608718385/photos"">Marcelo Marchesi</a>'], 'photo_reference': 'CmRaAAAA6oRTG2uEe--BLWK6pGg4CXPdtcHivc-zVKGaDq6NywVU4dctYkuN0oeK_Je8LsJn61T-4RoE_fRan0LJogVQVWVZHEhN6s4IXjQXFOySqfXoksNik4L9H17hzJRiYvplEhCRf8ZyHkfYJ3kwDPGNyFn_GhTOtXkKlt7zYBSInT3hr9f2m1jc2g', 'width': 4032}]",ChIJceJ44ey3t4kRN7zR9WPgsF4,"{'compound_code': 'WX4G+J2 Washington, District of Columbia', 'global_code': '87C4WX4G+J2'}",2,4.6,ChIJceJ44ey3t4kRN7zR9WPgsF4,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",626,20001
19,"500 North Capitol St NW, Washington, DC 20001, USA","{'location': {'lat': 38.896347, 'lng': -77.00927899999999}, 'viewport': {'northeast': {'lat': 38.89769672989271, 'lng': -77.00782082010727}, 'southwest': {'lat': 38.89499707010727, 'lng': -77.01052047989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,9532438c2a79427abe17e6760ba569a326078421,Corner Bakery Cafe,{'open_now': True},"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108122879371628944680/photos"">Jose Lagunas</a>'], 'photo_reference': 'CmRaAAAA27hr2ZkV10uT8538lMmCEVAg58II8CkyqIxGk_ywJiql4FxKMr3Yuq1e1uf89LrOqSF3v3-11wCw8QZDnL6yN1gQXJ8z3bj6F2dLie3D6NjvOuz3JNt6kPCELixO5v6OEhBFItc5gBZsFbpxPECjE986GhRVrlFQpWnYj2arAoW-pIiNabpH4g', 'width': 1080}]",ChIJ8fZ5bie4t4kRlCHjmHf-TQ0,"{'compound_code': 'VXWR+G7 Washington, District of Columbia', 'global_code': '87C4VXWR+G7'}",,4.2,ChIJ8fZ5bie4t4kRlCHjmHf-TQ0,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",824,20001
20,"999 9th St NW, Washington, DC 20001, USA","{'location': {'lat': 38.9016907, 'lng': -77.02350799999999}, 'viewport': {'northeast': {'lat': 38.90304047989272, 'lng': -77.02239612010727}, 'southwest': {'lat': 38.90034082010727, 'lng': -77.02509577989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,4a0aff012473a016dd358fb97aafaa128c8660f7,Starbucks,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113914239371726745905/photos"">김현진</a>'], 'photo_reference': 'CmRaAAAAcLSBdtd1K0LhtE_l2ZKObQdf0ugj93ODQs0Ae2ugeVK1mSqiu85ajiPfZfySvm7OlvIjKovCSWTj0RY2AXT8V6DfrjpubJ7ht1ALC62hwKPlPl9VQlcyLKaUsEq2I5iGEhDffiEG1ImZw0MBi1g1nX8xGhQD1Fa3al3KliJ1L1KJ2jggRwskgQ', 'width': 3024}]",ChIJMRssXZK3t4kRzgu3LD7EeYI,"{'compound_code': 'WX2G+MH Washington, District of Columbia', 'global_code': '87C4WX2G+MH'}",2,3.7,ChIJMRssXZK3t4kRzgu3LD7EeYI,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",45,20001
21,"901 New York Ave NW, Washington, DC 20001, USA","{'location': {'lat': 38.9017815, 'lng': -77.025841}, 'viewport': {'northeast': {'lat': 38.90304772989273, 'lng': -77.02444177010727}, 'southwest': {'lat': 38.90034807010728, 'lng': -77.02714142989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,7e27ce70c55bbb32ba3fa602e43a29da3d0008c3,Starbucks,{'open_now': True},"[{'height': 289, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117749484769776912906/photos"">Starbucks</a>'], 'photo_reference': 'CmRaAAAAFgWLl1CgOeU1Q1JBMdoqmDuELz4QGM5LRoRtOJEW0r1mZiTH-9e9v2FMcXAV8H4tqzdbHz68hNfyzl43Rhw7HpLt4fL6bsep38ZS7D3rd9cAwDJtYpe3dXuKVVQdKv90EhCklmvjzPtnYcW8Qj-pNvoXGhT_733tvusm2afJSMY3DwXzn22B6Q', 'width': 512}]",ChIJv8iLq5O3t4kRI872JM3bDYg,"{'compound_code': 'WX2F+PM Washington, District of Columbia', 'global_code': '87C4WX2F+PM'}",2,3.6,ChIJv8iLq5O3t4kRI872JM3bDYg,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",159,20001
